Species,Metabolite,kegg_id,genus,E1_shap_stable,E2_spearman,E3_kegg,E4_glasso,E5_mofa,E6_mediation,E7_within_stage,Evidence_score,Confidence,pathway,rho,abs_rho
Clostridium_A leptum,C03264_2-Hydroxy-4-methylpentanoate,C03264,Clostridium,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2697971706902725,0.2697971706902725
Alistipes shahii,C00423_trans-Cinnamate,C00423,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other,0.2901171085096698,0.2901171085096698
Alangreenwoodia gallinarii,C02714_N-Acetylputrescine,C02714,Alangreenwoodia,True,True,False,False,False,False,False,2,Medium (2),Other,0.417127587528053,0.417127587528053
Veillonella atypica,C01042_N-Acetylaspartate,C01042,Veillonella,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2627829069923068,0.2627829069923068
Faecalibacterium prausnitzii,C05332_Phenethylamine,C05332,Faecalibacterium,True,True,False,False,False,False,False,2,Medium (2),Other,-0.4150687075767382,0.4150687075767382
UBA5905 sp900763035,C00245_Taurine,C00245,UBA5905,True,True,False,False,False,False,False,2,Medium (2),Other,0.2477682507715841,0.2477682507715841
Veillonella parvula_A,_DCA,,Veillonella,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2659304187089544,0.2659304187089544
Clostridium_A leptum,C02714_N-Acetylputrescine,C02714,Clostridium,True,True,False,False,False,False,False,2,Medium (2),Other,-0.3611642605343561,0.3611642605343561
Faecousia sp000434635,C17714_Heptanoate,C17714,Faecousia,True,True,False,False,False,False,False,2,Medium (2),Other,0.3316224212038921,0.3316224212038921
CAG-488 sp900539465,C00334_GABA,C00334,CAG-488,True,True,False,False,False,False,False,2,Medium (2),Other,0.2798539719995244,0.2798539719995244
Clostridium_A leptum,C00785_Urocanate,C00785,Clostridium,True,True,False,False,False,False,False,2,Medium (2),Other,0.2462211987394057,0.2462211987394057
Avispirillum faecium,C00785_Urocanate,C00785,Avispirillum,True,True,False,False,False,False,False,2,Medium (2),Other,-0.3115197576425043,0.3115197576425043
Avispirillum faecium,C00334_GABA,C00334,Avispirillum,True,True,False,False,False,False,False,2,Medium (2),Other,0.3292922220071353,0.3292922220071353
UMGS693 sp900544555,C02378_6-Aminohexanoate,C02378,UMGS693,True,True,False,False,False,False,False,2,Medium (2),Other,-0.247400202613079,0.247400202613079
Erysipelatoclostridium ramosum,C00630_Isobutyryl CoA,C00630,Erysipelatoclostridium,True,True,False,False,False,False,False,2,Medium (2),Other,-0.3283717313418382,0.3283717313418382
Avimicrobium caecorum,C02714_N-Acetylputrescine,C02714,Avimicrobium,True,True,False,False,False,False,False,2,Medium (2),Other,-0.3569135831544506,0.3569135831544506
Acutalibacter sp910580045,C05332_Phenethylamine,C05332,Acutalibacter,True,True,False,False,False,False,False,2,Medium (2),Other,0.3564335534815189,0.3564335534815189
UMGS693 sp900544555,C00314_Pyridoxine,C00314,UMGS693,True,True,False,False,False,False,False,2,Medium (2),Other,-0.268972146309873,0.268972146309873
Agathobacter rectalis,C00398_Tryptamine,C00398,Agathobacter,False,True,False,False,True,False,False,2,Medium (2),Indole / Tryptophan,-0.3555854316522783,0.3555854316522783
Alistipes onderdonkii,C01042_N-Acetylaspartate,C01042,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other,0.3282734954756134,0.3282734954756134
CAG-103 sp900543625,C17714_Heptanoate,C17714,CAG-103,True,True,False,False,False,False,False,2,Medium (2),Other,0.3105578386497583,0.3105578386497583
Bifidobacterium adolescentis,C01042_N-Acetylaspartate,C01042,Bifidobacterium,True,True,False,False,False,False,False,2,Medium (2),Other,0.2734719245631136,0.2734719245631136
Faecivivens stercoravium,C02714_N-Acetylputrescine,C02714,Faecivivens,True,True,False,False,False,False,False,2,Medium (2),Other,0.3950458929553064,0.3950458929553064
Agathobacter sp900317585,C00398_Tryptamine,C00398,Agathobacter,False,True,False,False,True,False,False,2,Medium (2),Indole / Tryptophan,-0.3531421465898741,0.3531421465898741
Ruminococcus_C sp000980705,C05332_Phenethylamine,C05332,Ruminococcus,True,True,False,False,False,False,False,2,Medium (2),Other,-0.3949540250215292,0.3949540250215292
UBA5905 sp900763035,C17714_Heptanoate,C17714,UBA5905,True,True,False,False,False,False,False,2,Medium (2),Other,-0.3098211440647817,0.3098211440647817
Alangreenwoodia gallinarii,C17714_Heptanoate,C17714,Alangreenwoodia,True,True,False,False,False,False,False,2,Medium (2),Other,-0.3270523298837566,0.3270523298837566
Clostridium_A leptum,C00334_GABA,C00334,Clostridium,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2968963162136344,0.2968963162136344
Campylobacter_B sp900539505,C01118_o-Succinylhomoserine,C01118,Campylobacter,False,True,False,False,True,False,False,2,Medium (2),Other,-0.2622620434803005,0.2622620434803005
Avimicrobium caecorum,C03264_2-Hydroxy-4-methylpentanoate,C03264,Avimicrobium,True,True,False,False,False,False,False,2,Medium (2),Other,-0.3255179154329929,0.3255179154329929
ER4 sp000765235,C00003_NAD+,C00003,ER4,True,True,False,False,False,False,False,2,Medium (2),Other,0.2796959845298513,0.2796959845298513
Alistipes putredinis,C08262_Isovalerate,C08262,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other,0.2872642238291825,0.2872642238291825
Aphodousia sp900553105,C05341_beta-Ala-Lys,C05341,Aphodousia,False,True,False,False,True,False,False,2,Medium (2),Other,0.2961845882149836,0.2961845882149836
UBA1685 sp900546845,C02714_N-Acetylputrescine,C02714,UBA1685,True,True,False,False,False,False,False,2,Medium (2),Other,0.3495263079592785,0.3495263079592785
Lachnospira rogosae_A,C01425_Glu-Glu,C01425,Lachnospira,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2792382084806067,0.2792382084806067
Alistipes putredinis,_DCA,,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other,0.2439213877427697,0.2439213877427697
Aphodousia sp900553105,C01047_N-gamma-Ethylglutamine,C01047,Aphodousia,False,True,False,False,True,False,False,2,Medium (2),Other,-0.2507217371874031,0.2507217371874031
UBA737 sp902762875,C02714_N-Acetylputrescine,C02714,UBA737,True,True,False,False,False,False,False,2,Medium (2),Other,0.3487752592195182,0.3487752592195182
Avimicrobium caecorum,C00334_GABA,C00334,Avimicrobium,True,True,False,False,False,False,False,2,Medium (2),Other,-0.3484036121567075,0.3484036121567075
Bifidobacterium pseudocatenulatum,C01042_N-Acetylaspartate,C01042,Bifidobacterium,True,True,False,False,False,False,False,2,Medium (2),Other,0.2788381175473132,0.2788381175473132
Lachnospira sp000436475,C01425_Glu-Glu,C01425,Lachnospira,True,True,False,False,False,False,False,2,Medium (2),Other,-0.3069421856705514,0.3069421856705514
Bilophila wadsworthia,C00245_Taurine,C00245,Bilophila,True,True,False,False,False,False,False,2,Medium (2),Other,-0.3060866828000935,0.3060866828000935
UBA11540 sp003445125,C00334_GABA,C00334,UBA11540,True,True,False,False,False,False,False,2,Medium (2),Other,0.2616892191907744,0.2616892191907744
Galloscillospira_B excrementipullorum,C03264_2-Hydroxy-4-methylpentanoate,C03264,Galloscillospira,True,True,False,False,False,False,False,2,Medium (2),Other,0.268410380921886,0.268410380921886
Agathobacter sp900546625,C00398_Tryptamine,C00398,Agathobacter,False,True,False,False,True,False,False,2,Medium (2),Indole / Tryptophan,-0.3452118814552117,0.3452118814552117
Alistipes onderdonkii,C00346_Ethanolamine phosphate,C00346,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other,0.2486901963130146,0.2486901963130146
Alangreenwoodia gallinarii,C00314_Pyridoxine,C00314,Alangreenwoodia,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2587608808026647,0.2587608808026647
Fusobacterium_A mortiferum,C00123_Leu,C00123,Fusobacterium,True,True,False,False,False,False,False,2,Medium (2),Amino Acid,0.2777406960426768,0.2777406960426768
Alistipes shahii,C00346_Ethanolamine phosphate,C00346,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other,0.2445210545533882,0.2445210545533882
Avispirillum faecium,3-Indoxyl sulfate,3-Indoxyl sulfate,Avispirillum,True,True,False,False,False,False,False,2,Medium (2),Other,-0.3440817241691681,0.3440817241691681
Alistipes shahii,C01042_N-Acetylaspartate,C01042,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other,0.3789576534882264,0.3789576534882264
CAG-170 sp000432135,C17714_Heptanoate,C17714,CAG-170,True,True,False,False,False,False,False,2,Medium (2),Other,0.377925470934449,0.377925470934449
Lachnospira sp000436535,C01425_Glu-Glu,C01425,Lachnospira,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2772945257367303,0.2772945257367303
Alistipes shahii,C08262_Isovalerate,C08262,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other,0.3019488781371004,0.3019488781371004
CAG-83 sp000435555,C17714_Heptanoate,C17714,CAG-83,True,True,False,False,False,False,False,2,Medium (2),Other,0.2431478428363019,0.2431478428363019
CAG-83 sp000435555,C00449_Saccharopine,C00449,CAG-83,True,True,False,False,False,False,False,2,Medium (2),Other,0.2765616387121846,0.2765616387121846
Alistipes_A ihumii,C17714_Heptanoate,C17714,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other,0.2915537032506429,0.2915537032506429
Alistipes onderdonkii,_DCA,,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other,0.2467216650707479,0.2467216650707479
Sediminibacterium sp902168225,C00423_trans-Cinnamate,C00423,Sediminibacterium,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2583665065028583,0.2583665065028583
Eubacterium_T sp900766045,C01104_Trimethylamine N-oxide,C01104,Eubacterium,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2454835966858899,0.2454835966858899
Alistipes_A ihumii,_DCA,,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other,0.2528570008943655,0.2528570008943655
Veillonella parvula_A,C00334_GABA,C00334,Veillonella,True,True,False,False,False,False,False,2,Medium (2),Other,0.3028102147223934,0.3028102147223934
Gemmiger formicilis,C00398_Tryptamine,C00398,Gemmiger,False,True,False,False,True,False,False,2,Medium (2),Indole / Tryptophan,-0.3365334374575467,0.3365334374575467
UMGS902 sp003343845,C00785_Urocanate,C00785,UMGS902,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2754229718493878,0.2754229718493878
Roseburia intestinalis,C00630_Isobutyryl CoA,C00630,Roseburia,True,True,False,False,False,False,False,2,Medium (2),Other,0.2640911227033072,0.2640911227033072
Agathobacter faecis,C00398_Tryptamine,C00398,Agathobacter,False,True,False,False,True,False,False,2,Medium (2),Indole / Tryptophan,-0.3022262054901422,0.3022262054901422
Alangreenwoodia gallinarii,C00334_GABA,C00334,Alangreenwoodia,True,True,False,False,False,False,False,2,Medium (2),Other,0.3022205768398971,0.3022205768398971
Veillonella parvula_A,C07151_Metformin,C07151,Veillonella,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2708986437735292,0.2708986437735292
Gemmiger formicilis,C05332_Phenethylamine,C05332,Gemmiger,True,True,False,False,False,False,False,2,Medium (2),Other,-0.3682191749372625,0.3682191749372625
CAG-83 sp002438575,C00449_Saccharopine,C00449,CAG-83,True,True,False,False,False,False,False,2,Medium (2),Other,0.2405533467254461,0.2405533467254461
Barnesiella intestinihominis,C00245_Taurine,C00245,Barnesiella,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2403786779129633,0.2403786779129633
Faecalibacterium prausnitzii_G,C05984_2-Hydroxybutyrate,C05984,Faecalibacterium,True,True,False,False,False,False,False,2,Medium (2),Other,-0.239318859799066,0.239318859799066
Scatomorpha intestinavium,C00245_Taurine,C00245,Scatomorpha,True,True,False,False,False,False,False,2,Medium (2),Other,0.2380968109005749,0.2380968109005749
UMGS687 sp900545735,C00440_5-Methyltetrahydrofolate,C00440,UMGS687,False,True,False,False,True,False,False,2,Medium (2),Other,-0.2374783192882768,0.2374783192882768
Prevotella sp002440225,C02679_Dodecanoate,C02679,Prevotella,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2363120263263617,0.2363120263263617
Clostridium_A leptum,3-Indoxyl sulfate,3-Indoxyl sulfate,Clostridium,True,True,False,False,False,False,False,2,Medium (2),Other,0.2362795384018131,0.2362795384018131
Lachnospira sp000436475,C00123_Leu,C00123,Lachnospira,True,True,False,False,False,False,False,2,Medium (2),Amino Acid,-0.2347238409580337,0.2347238409580337
Scatavimonas merdipullorum,C00245_Taurine,C00245,Scatavimonas,True,True,False,False,False,False,False,2,Medium (2),Other,0.2339756642975841,0.2339756642975841
Scatavimonas merdipullorum,C01879_5-Oxoproline,C01879,Scatavimonas,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2335943360278145,0.2335943360278145
UMGS687 sp900545735,C00954_Indole-3-acetate,C00954,UMGS687,False,True,False,False,True,False,False,2,Medium (2),Other,0.2334330234071036,0.2334330234071036
UBA11540 sp003445125,C00879_Mucate,C00879,UBA11540,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2326544987548889,0.2326544987548889
Faecousia sp017548065,C00785_Urocanate,C00785,Faecousia,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2315472894421025,0.2315472894421025
Prevotella sp002300055,C00024_Acetyl CoA,C00024,Prevotella,True,True,False,False,False,False,False,2,Medium (2),Other,0.2302771423294628,0.2302771423294628
Erysipelatoclostridium ramosum,C00003_NAD+,C00003,Erysipelatoclostridium,True,True,False,False,False,False,False,2,Medium (2),Other,-0.3013628165804915,0.3013628165804915
Alistipes onderdonkii,C16741_5-Hydroxylysine,C16741,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2288564008340514,0.2288564008340514
Alistipes onderdonkii,C00122_Fumarate,C00122,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other,0.2286075062527721,0.2286075062527721
SFEL01 sp016292635,C00245_Taurine,C00245,SFEL01,True,True,False,False,False,False,False,2,Medium (2),Other,0.2282742996578204,0.2282742996578204
Phascolarctobacterium_A succinatutens_A,C00383_Malonate,C00383,Phascolarctobacterium,True,True,False,False,False,False,False,2,Medium (2),Other,-0.227639378650647,0.227639378650647
Avispirillum faecium,C01879_5-Oxoproline,C01879,Avispirillum,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2275852259325737,0.2275852259325737
UMGS1322 sp905214315,C01879_5-Oxoproline,C01879,UMGS1322,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2270131075284767,0.2270131075284767
Aphodousia sp900553105,C00440_5-Methyltetrahydrofolate,C00440,Aphodousia,False,True,False,False,True,False,False,2,Medium (2),Other,-0.2270075286209618,0.2270075286209618
Morganella psychrotolerans_B,C00003_NAD+,C00003,Morganella,True,True,False,False,False,False,False,2,Medium (2),Other,0.2266907327869602,0.2266907327869602
Fusobacterium_A mortiferum,C01104_Trimethylamine N-oxide,C01104,Fusobacterium,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2266788500912016,0.2266788500912016
UMGS687 sp900545735,C00423_trans-Cinnamate,C00423,UMGS687,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2252879964337532,0.2252879964337532
Lactobacillus amylolyticus,3-Indoxyl sulfate,3-Indoxyl sulfate,Lactobacillus,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2252731842899345,0.2252731842899345
Alistipes shahii,C01959_Taurocyamine,C01959,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other,0.2248123025563178,0.2248123025563178
Alistipes onderdonkii,C02679_Dodecanoate,C02679,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other,0.2236658112407423,0.2236658112407423
Leptotrichia_A sp001274535,C00491_Cystine,C00491,Leptotrichia,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2231687034704997,0.2231687034704997
CAG-1427 sp900554685,C00879_Mucate,C00879,CAG-1427,True,True,False,False,False,False,False,2,Medium (2),Other,-0.222889907460708,0.222889907460708
Erysipelatoclostridium ramosum,C00191_Glucuronate,C00191,Erysipelatoclostridium,True,True,False,False,False,False,False,2,Medium (2),Other,0.2223338828150739,0.2223338828150739
CAG-170 sp000432135,C00449_Saccharopine,C00449,CAG-170,True,True,False,False,False,False,False,2,Medium (2),Other,0.2207216234212048,0.2207216234212048
Egerieicola pullicola,C00407_Ile,C00407,Egerieicola,True,True,False,False,False,False,False,2,Medium (2),Amino Acid,0.2203924524053377,0.2203924524053377
Lachnospira sp000436475,C00407_Ile,C00407,Lachnospira,True,True,False,False,False,False,False,2,Medium (2),Amino Acid,-0.2194469638962398,0.2194469638962398
Sediminibacterium sp902168225,C00954_Indole-3-acetate,C00954,Sediminibacterium,False,True,False,False,True,False,False,2,Medium (2),Other,0.2181632958444476,0.2181632958444476
Lachnospira sp000436535,C00123_Leu,C00123,Lachnospira,True,True,False,False,False,False,False,2,Medium (2),Amino Acid,-0.2180787053125999,0.2180787053125999
CAG-170 sp000432135,C01879_5-Oxoproline,C01879,CAG-170,True,True,False,False,False,False,False,2,Medium (2),Other,0.2180204803741197,0.2180204803741197
Campylobacter_B sp900539505,C00440_5-Methyltetrahydrofolate,C00440,Campylobacter,False,True,False,False,True,False,False,2,Medium (2),Other,-0.2179852782265877,0.2179852782265877
Escherichia coli,C00123_Leu,C00123,Escherichia,True,True,False,False,False,False,False,2,Medium (2),Amino Acid,0.2178615761167075,0.2178615761167075
Holdemanella sp900547815,C00024_Acetyl CoA,C00024,Holdemanella,True,True,False,False,False,False,False,2,Medium (2),Other,0.2170238828661927,0.2170238828661927
CAG-274 sp000432155,C08262_Isovalerate,C08262,CAG-274,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2164597142051319,0.2164597142051319
CAG-274 sp000432155,C00314_Pyridoxine,C00314,CAG-274,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2163222427077132,0.2163222427077132
Alistipes shahii,C03264_2-Hydroxy-4-methylpentanoate,C03264,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2161822440239337,0.2161822440239337
Sediminibacterium sp902168225,C00440_5-Methyltetrahydrofolate,C00440,Sediminibacterium,False,True,False,False,True,False,False,2,Medium (2),Other,-0.2154495070221078,0.2154495070221078
Aphodousia sp900553105,C03570_Mannosamine,C03570,Aphodousia,False,True,False,False,True,False,False,2,Medium (2),Other,-0.2150470294642316,0.2150470294642316
Scatavimonas merdipullorum,C01551_Allantoin,C01551,Scatavimonas,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2145493979289788,0.2145493979289788
Fusobacterium sp000235465,C00123_Leu,C00123,Fusobacterium,True,True,False,False,False,False,False,2,Medium (2),Amino Acid,-0.2135732744978312,0.2135732744978312
Barnesiella intestinihominis,C00134_Putrescine,C00134,Barnesiella,False,True,False,True,False,False,False,2,Medium (2),Polyamine,-0.2451919956298441,0.2451919956298441
Ruminococcus_E bromii_B,C00134_Putrescine,C00134,Ruminococcus,False,True,False,True,False,False,False,2,Medium (2),Polyamine,-0.3263661476053464,0.3263661476053464
Roseburia inulinivorans,C00398_Tryptamine,C00398,Roseburia,False,True,False,False,True,False,False,2,Medium (2),Indole / Tryptophan,-0.2703856661004334,0.2703856661004334
Lachnospira rogosae_A,C00398_Tryptamine,C00398,Lachnospira,False,True,False,False,True,False,False,2,Medium (2),Indole / Tryptophan,-0.2759829343429001,0.2759829343429001
Lachnospira sp000436475,C00398_Tryptamine,C00398,Lachnospira,False,True,False,False,True,False,False,2,Medium (2),Indole / Tryptophan,-0.2471316638998826,0.2471316638998826
Gemmiger formicilis,C08277_Sebacate,C08277,Gemmiger,False,True,False,False,True,False,False,2,Medium (2),Other,0.2340235897642591,0.2340235897642591
UBA5905 sp900763035,C08277_Sebacate,C08277,UBA5905,True,True,False,False,False,False,False,2,Medium (2),Other,-0.4535889378057725,0.4535889378057725
Faecalibacterium prausnitzii_C,C05332_Phenethylamine,C05332,Faecalibacterium,True,True,False,False,False,False,False,2,Medium (2),Other,-0.4393334166270066,0.4393334166270066
Avispirillum faecium,C02714_N-Acetylputrescine,C02714,Avispirillum,True,True,False,False,False,False,False,2,Medium (2),Other,0.4382255949368688,0.4382255949368688
Gemmiger qucibialis,C05332_Phenethylamine,C05332,Gemmiger,True,True,False,False,False,False,False,2,Medium (2),Other,-0.4225473428170478,0.4225473428170478
Faecalibacterium prausnitzii_C,C00398_Tryptamine,C00398,Faecalibacterium,False,True,False,False,True,False,False,2,Medium (2),Indole / Tryptophan,-0.4223318897041819,0.4223318897041819
Faecalibacterium prausnitzii_D,C05332_Phenethylamine,C05332,Faecalibacterium,False,True,False,False,False,False,False,1,Low-Medium (1),Other,-0.3814765989310822,0.3814765989310822
Faecousia sp003525905,C02656_Pimelate,C02656,Faecousia,False,True,False,False,False,False,False,1,Low-Medium (1),Other,0.3813245960741522,0.3813245960741522
Acetatifactor sp003447295,C00803_Valerate,C00803,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Other,0.3804843618849211,0.3804843618849211
Gemmiger qucibialis,C00483_Tyramine,C00483,Gemmiger,False,True,False,False,False,False,False,1,Low-Medium (1),Other,-0.379392308052438,0.379392308052438
CAG-103 sp900543625,C02678_Dodecanedioate,C02678,CAG-103,False,True,False,False,False,False,False,1,Low-Medium (1),Other,0.3789877408096906,0.3789877408096906
Faecousia sp003525905,C05629_3-Phenylpropionate,C05629,Faecousia,False,True,False,False,False,False,False,1,Low-Medium (1),Other,0.3789641081146063,0.3789641081146063
Clostridium_A leptum,C00431_5-Aminovalerate,C00431,Clostridium,False,True,False,False,False,False,False,1,Low-Medium (1),Other,-0.3773719785007631,0.3773719785007631
CAG-170 sp000432135,C00695_Cholate,C00695,CAG-170,False,True,False,False,False,False,False,1,Low-Medium (1),Bile Acid,-0.377090801936241,0.377090801936241
UBA3855 sp017460955,C08277_Sebacate,C08277,UBA3855,False,True,False,False,False,False,False,1,Low-Medium (1),Other,-0.376714736111525,0.376714736111525
Acetatifactor intestinalis,C00134_Putrescine,C00134,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Polyamine,-0.3766048461168626,0.3766048461168626
Faecalibacterium sp900539945,C00398_Tryptamine,C00398,Faecalibacterium,False,True,False,False,False,False,False,1,Low-Medium (1),Indole / Tryptophan,-0.3763593860670221,0.3763593860670221
Alistipes putredinis,C08277_Sebacate,C08277,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other,0.3760405131212062,0.3760405131212062
Alistipes shahii,C00431_5-Aminovalerate,C00431,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other,-0.3750958556469961,0.3750958556469961
ER4 sp900552015,"C03283_2,4-Diaminobutyrate",C03283,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other,0.3727403583503644,0.3727403583503644
Agathobacter rectalis,C05332_Phenethylamine,C05332,Agathobacter,False,True,False,False,False,False,False,1,Low-Medium (1),Other,-0.3726055744421447,0.3726055744421447
Acetatifactor intestinalis,C00803_Valerate,C00803,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Other,0.372368726211106,0.372368726211106
CAG-170 sp000432135,C01046_N-Methylglutamate,C01046,CAG-170,False,True,False,False,False,False,False,1,Low-Medium (1),Other,0.3721675170423534,0.3721675170423534
CAG-170 sp000432135,C00134_Putrescine,C00134,CAG-170,False,True,False,False,False,False,False,1,Low-Medium (1),Polyamine,-0.371949779970004,0.371949779970004
ER4 sp000765235,C00055_CMP,C00055,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Nucleotide,0.3714719564543022,0.3714719564543022
Alistipes onderdonkii,C08277_Sebacate,C08277,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other,0.3712342150886222,0.3712342150886222
Alistipes shahii,C00134_Putrescine,C00134,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Polyamine,-0.3689254804557875,0.3689254804557875
ER4 sp000765235,C02656_Pimelate,C02656,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other,0.3689038422298947,0.3689038422298947
Alistipes shahii,C06103_6-Hydroxyhexanoate,C06103,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other,0.3684151043646915,0.3684151043646915
Acetatifactor intestinalis,C00364_dTMP,C00364,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Other,0.3677965898462669,0.3677965898462669
Ruminococcus_E bromii_B,C02678_Dodecanedioate,C02678,Ruminococcus,False,True,False,False,False,False,False,1,Low-Medium (1),Other,0.3674609310827547,0.3674609310827547
Acetatifactor intestinalis,C00055_CMP,C00055,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Nucleotide,0.3671009176094749,0.3671009176094749
CAG-170 sp000432135,"C03283_2,4-Diaminobutyrate",C03283,CAG-170,False,True,False,False,False,False,False,1,Low-Medium (1),Other,0.3670070975755088,0.3670070975755088
Gemmiger sp900540595,C05332_Phenethylamine,C05332,Gemmiger,False,True,False,False,False,False,False,1,Low-Medium (1),Other,-0.3669217082642682,0.3669217082642682
