Species,Metabolite,E1_shap_stable,E2_spearman,E3_kegg,E4_glasso,E5_mofa,E6_mediation,E7_within_stage,Evidence_score,Confidence
UBA1685 sp900546845,C00134_Putrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecivivens stercoravium,C00431_5-Aminovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-170 sp000432135,C02714_N-Acetylputrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-103 sp900543625,C08277_Sebacate,False,True,False,False,False,False,False,1,Low-Medium (1)
Avispirillum faecium,C00431_5-Aminovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA5905 sp900763035,C02656_Pimelate,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor intestinalis,C00695_Cholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor sp003447295,C02714_N-Acetylputrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp003525905,"C03283_2,4-Diaminobutyrate",False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp000765235,C00134_Putrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium prausnitzii_D,C05332_Phenethylamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp003525905,C02656_Pimelate,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor sp003447295,C00803_Valerate,False,True,False,False,False,False,False,1,Low-Medium (1)
Gemmiger qucibialis,C00483_Tyramine,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-103 sp900543625,C02678_Dodecanedioate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp003525905,C05629_3-Phenylpropionate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes shahii,C01042_N-Acetylaspartate,True,True,False,False,False,False,False,2,Medium (2)
CAG-170 sp000432135,C17714_Heptanoate,True,True,False,False,False,False,False,2,Medium (2)
Clostridium_A leptum,C00431_5-Aminovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-170 sp000432135,C00695_Cholate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA3855 sp017460955,C08277_Sebacate,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor intestinalis,C00134_Putrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium sp900539945,C00398_Tryptamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes putredinis,C08277_Sebacate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes shahii,C00431_5-Aminovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp900552015,"C03283_2,4-Diaminobutyrate",False,True,False,False,False,False,False,1,Low-Medium (1)
Agathobacter rectalis,C05332_Phenethylamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor intestinalis,C00803_Valerate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-170 sp000432135,C01046_N-Methylglutamate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-170 sp000432135,C00134_Putrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp000765235,C00055_CMP,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes onderdonkii,C08277_Sebacate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes shahii,C00134_Putrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp000765235,C02656_Pimelate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes shahii,C06103_6-Hydroxyhexanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
Gemmiger formicilis,C05332_Phenethylamine,True,True,False,False,False,False,False,2,Medium (2)
Acetatifactor intestinalis,C00364_dTMP,False,True,False,False,False,False,False,1,Low-Medium (1)
Ruminococcus_E bromii_B,C02678_Dodecanedioate,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor intestinalis,C00055_CMP,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-170 sp000432135,"C03283_2,4-Diaminobutyrate",False,True,False,False,False,False,False,1,Low-Medium (1)
Gemmiger sp900540595,C05332_Phenethylamine,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp000765235,C02714_N-Acetylputrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
Ruminococcus_C callidus,C05332_Phenethylamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor sp003447295,C00134_Putrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor intestinalis,C00431_5-Aminovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes shahii,C17714_Heptanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
Agathobacter sp900317585,C05332_Phenethylamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp000434635,C02656_Pimelate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes shahii,C00803_Valerate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes shahii,C02714_N-Acetylputrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor sp003447295,C00695_Cholate,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp900552015,C02714_N-Acetylputrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor sp003447295,C00364_dTMP,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp003525905,C00134_Putrescine,False,True,False,True,False,False,False,2,Medium (2)
Clostridium_A leptum,C06104_Adipate,False,True,False,False,False,False,False,1,Low-Medium (1)
Eubacterium_G ventriosum,C02678_Dodecanedioate,False,True,False,False,False,False,False,1,Low-Medium (1)
Agathobacter sp900546625,C05332_Phenethylamine,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp900552015,C00134_Putrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
Veillonella atypica,C06104_Adipate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-41 sp900066215,C05332_Phenethylamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Clostridium_A leptum,C02714_N-Acetylputrescine,True,True,False,False,False,False,False,2,Medium (2)
Alistipes putredinis,C00803_Valerate,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp000765235,C00803_Valerate,False,True,False,False,False,False,False,1,Low-Medium (1)
Scatavimonas merdipullorum,C00431_5-Aminovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira sp003451515,C05332_Phenethylamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Gemmiger qucibialis,C02678_Dodecanedioate,False,True,False,False,False,False,False,1,Low-Medium (1)
Clostridium_A leptum,C00134_Putrescine,False,True,True,False,False,False,False,2,Medium (2)
Alistipes putredinis,C00431_5-Aminovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp000765235,C00364_dTMP,False,True,False,False,False,False,False,1,Low-Medium (1)
Avimicrobium caecorum,C02714_N-Acetylputrescine,True,True,False,False,False,False,False,2,Medium (2)
Acutalibacter sp910580045,C05332_Phenethylamine,True,True,False,False,False,False,False,2,Medium (2)
Faecousia sp000434635,"C03283_2,4-Diaminobutyrate",False,True,False,False,False,False,False,1,Low-Medium (1)
Agathobacter rectalis,C00398_Tryptamine,False,True,False,False,True,False,False,2,Medium (2)
ER4 sp000765235,C00431_5-Aminovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA737 sp902762875,C00431_5-Aminovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
Gemmiger formicilis,C00483_Tyramine,False,True,False,False,False,False,False,1,Low-Medium (1)
Ruminococcus_E bromii_B,C02656_Pimelate,False,True,False,False,False,False,False,1,Low-Medium (1)
Agathobacter sp900317585,C00398_Tryptamine,False,True,False,False,True,False,False,2,Medium (2)
Ruminococcus_E bromii,C08277_Sebacate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA1206 sp000433115,C00695_Cholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp000434635,C05629_3-Phenylpropionate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes shahii,C05629_3-Phenylpropionate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-127 sp900319515,C05332_Phenethylamine,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-103 sp900543625,"C03283_2,4-Diaminobutyrate",False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor sp003447295,C00431_5-Aminovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
Veillonella atypica,C08277_Sebacate,False,True,False,False,False,False,False,1,Low-Medium (1)
Ruminococcus_E bromii,C02656_Pimelate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp000434635,C02714_N-Acetylputrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA1685 sp900546845,C02714_N-Acetylputrescine,True,True,False,False,False,False,False,2,Medium (2)
Acetatifactor sp003447295,C00055_CMP,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira sp003537285,C05332_Phenethylamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Gemmiger qucibialis,C00398_Tryptamine,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp900552015,C02656_Pimelate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA737 sp902762875,C02714_N-Acetylputrescine,True,True,False,False,False,False,False,2,Medium (2)
Avimicrobium caecorum,C00334_GABA,True,True,False,False,False,False,False,2,Medium (2)
CAG-103 sp900757655,C00695_Cholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Gemmiger sp900540595,C00398_Tryptamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Alangreenwoodia gallinarii,C00803_Valerate,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp000765235,C01042_N-Acetylaspartate,False,True,False,False,False,False,False,1,Low-Medium (1)
Scatavimonas merdipullorum,C08277_Sebacate,False,True,False,False,False,False,False,1,Low-Medium (1)
Agathobacter sp900546625,C00398_Tryptamine,False,True,False,False,True,False,False,2,Medium (2)
Alistipes onderdonkii,"C03283_2,4-Diaminobutyrate",False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp900552015,C00055_CMP,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor intestinalis,C02656_Pimelate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium prausnitzii_D,C00398_Tryptamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Avispirillum faecium,3-Indoxyl sulfate,True,True,False,False,False,False,False,2,Medium (2)
ER4 sp000765235,C06104_Adipate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alectryocaccomicrobium excrementavium,C00408_Pipecolate,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor sp003447295,C00398_Tryptamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira eligens,C00055_CMP,False,True,False,False,False,False,False,1,Low-Medium (1)
Ventricola intestinavium,C02714_N-Acetylputrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
UMGS687 sp900545735,C01118_o-Succinylhomoserine,True,True,False,False,True,False,False,3,Medium-High (3)
Scatavimonas merdipullorum,C02714_N-Acetylputrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp000434635,C00134_Putrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor sp003447295,C02656_Pimelate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA3855 sp017460955,C00134_Putrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
Avimicrobium caecorum,C00431_5-Aminovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
Avimicrobium caecorum,C00134_Putrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
Alangreenwoodia gallinarii,C06103_6-Hydroxyhexanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA737 sp902762875,C00134_Putrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium sp900539945,C05629_3-Phenylpropionate,False,True,False,False,False,False,False,1,Low-Medium (1)
Avispirillum faecium,C06103_6-Hydroxyhexanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium prausnitzii,C00483_Tyramine,False,True,False,False,False,False,False,1,Low-Medium (1)
Alangreenwoodia gallinarii,C00431_5-Aminovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
Scatavimonas merdipullorum,C00134_Putrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium prausnitzii,C00695_Cholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Gemmiger formicilis,C00398_Tryptamine,False,True,False,False,True,False,False,2,Medium (2)
Acetatifactor intestinalis,C00398_Tryptamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Avispirillum faecium,C08277_Sebacate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp000434635,C00695_Cholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp003525905,C00695_Cholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes shahii,C16741_5-Hydroxylysine,True,True,False,False,False,False,False,2,Medium (2)
UMGS693 sp900544555,C08277_Sebacate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium sp900539945,C00695_Cholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Veillonella parvula_A,C02714_N-Acetylputrescine,True,True,False,False,False,False,False,2,Medium (2)
Aphodomorpha sp900549955,C02714_N-Acetylputrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes putredinis,C01042_N-Acetylaspartate,True,True,False,False,False,False,False,2,Medium (2)
UBA1685 sp900546845,C00431_5-Aminovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
Ruminococcus_D bicirculans,C00134_Putrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
UMGS687 sp900545735,C05341_beta-Ala-Lys,False,True,False,False,True,False,False,2,Medium (2)
Faecalibacterium prausnitzii_C,C00695_Cholate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-488 sp000434055,C00431_5-Aminovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp900552015,C00431_5-Aminovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes putredinis,"C03283_2,4-Diaminobutyrate",False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-127 sp900319515,C00398_Tryptamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Alangreenwoodia gallinarii,C05629_3-Phenylpropionate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp000434635,C17714_Heptanoate,True,True,False,False,False,False,False,2,Medium (2)
Faecalibacterium prausnitzii_D,C00695_Cholate,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp000765235,C01585_Hexanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-488 sp000434055,C00134_Putrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
Avispirillum faecium,C00334_GABA,True,True,False,False,False,False,False,2,Medium (2)
Eubacterium_F sp003491505,C05629_3-Phenylpropionate,False,True,False,False,False,False,False,1,Low-Medium (1)
Erysipelatoclostridium ramosum,C00630_Isobutyryl CoA,True,True,False,False,False,False,False,2,Medium (2)
CAG-170 sp000432135,C05629_3-Phenylpropionate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes onderdonkii,C01042_N-Acetylaspartate,True,True,False,False,False,False,False,2,Medium (2)
CAG-170 sp000432135,C06103_6-Hydroxyhexanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
Ruminococcus_D bicirculans,C00398_Tryptamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes shahii,C06104_Adipate,False,True,False,False,False,False,False,1,Low-Medium (1)
Galloscillospira_B excrementipullorum,C00431_5-Aminovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alangreenwoodia gallinarii,C17714_Heptanoate,True,True,False,False,False,False,False,2,Medium (2)
Scatomorpha intestinavium,C00431_5-Aminovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira sp003451515,C05629_3-Phenylpropionate,False,True,False,False,False,False,False,1,Low-Medium (1)
Avimicrobium caecorum,C03264_2-Hydroxy-4-methylpentanoate,True,True,False,False,False,False,False,2,Medium (2)
CAG-103 sp000432375,C00695_Cholate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-103 sp900543625,C00055_CMP,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira eligens_A,C05629_3-Phenylpropionate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alangreenwoodia gallinarii,C02656_Pimelate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-170 sp000432135,C02656_Pimelate,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor sp003447295,C01046_N-Methylglutamate,False,True,False,False,False,False,False,1,Low-Medium (1)
Erysipelatoclostridium ramosum,C00364_dTMP,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA5905 sp900763035,C01672_Cadaverine,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-170 sp000432135,C00055_CMP,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA5905 sp900763035,C06104_Adipate,False,True,False,False,False,False,False,1,Low-Medium (1)
Ruminococcus_C sp000980705,C00398_Tryptamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor intestinalis,C01046_N-Methylglutamate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes shahii,C02656_Pimelate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-488 sp000434055,C02656_Pimelate,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp900552015,C01046_N-Methylglutamate,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp900552015,C00803_Valerate,False,True,False,False,False,False,False,1,Low-Medium (1)
Avispirillum faecium,"C03283_2,4-Diaminobutyrate",False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium sp900539945,C00483_Tyramine,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA5905 sp900763035,C06103_6-Hydroxyhexanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira eligens,C01046_N-Methylglutamate,False,True,False,False,False,False,False,1,Low-Medium (1)
Aphodousia sp900553105,C01118_o-Succinylhomoserine,True,True,False,False,True,True,False,4,High (4+)
Ruminococcus_D bicirculans,C00695_Cholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Galloscillospira_B excrementipullorum,C00408_Pipecolate,False,True,False,False,False,False,False,1,Low-Medium (1)
Ruminococcus_D bicirculans,C00431_5-Aminovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes putredinis,C05629_3-Phenylpropionate,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp000765235,C01046_N-Methylglutamate,False,True,False,False,False,False,False,1,Low-Medium (1)
UMGS687 sp900545735,C00383_Malonate,True,True,False,False,True,False,False,3,Medium-High (3)
Faecivivens stercoravium,C00055_CMP,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium prausnitzii_C,C00483_Tyramine,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA5905 sp900763035,C01046_N-Methylglutamate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-170 sp000432135,C00364_dTMP,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp003525905,C06104_Adipate,False,True,False,False,False,False,False,1,Low-Medium (1)
Barnesiella intestinihominis,C00364_dTMP,False,True,False,False,False,False,False,1,Low-Medium (1)
Gemmiger sp900540595,C05629_3-Phenylpropionate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes putredinis,C06104_Adipate,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp000765235,C01921_Glycocholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp003525905,C00576_Betaine aldehyde,False,True,False,False,False,False,False,1,Low-Medium (1)
Veillonella atypica,C00719_Betaine,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes onderdonkii,C06104_Adipate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-170 sp000432135,C00785_Urocanate,True,True,False,False,False,False,False,2,Medium (2)
CAG-127 sp900319515,C05629_3-Phenylpropionate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecivivens stercoravium,C06104_Adipate,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira sp003537285,C00055_CMP,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-1427 sp900554685,C02656_Pimelate,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira eligens,C05629_3-Phenylpropionate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-103 sp900543625,C06103_6-Hydroxyhexanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
Ruminococcus_E bromii_B,C05629_3-Phenylpropionate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes onderdonkii,C02656_Pimelate,False,True,False,False,False,False,False,1,Low-Medium (1)
Klebsiella pneumoniae,"C00986_1,3-Diaminopropane",False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp000434635,C06103_6-Hydroxyhexanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
Aphodomorpha sp900549955,C00431_5-Aminovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp003525905,C17714_Heptanoate,False,True,False,False,False,False,False,1,Low-Medium (1)
Avichristensenella intestinipullorum,C00408_Pipecolate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes putredinis,C00489_Glutarate,False,True,False,False,False,False,False,1,Low-Medium (1)
Avispirillum faecium,C00785_Urocanate,True,True,False,False,False,False,False,2,Medium (2)
