species,metabolite,rho,qval,rho_partial,pval_partial,pathway,qval_partial,survives_adjustment
Faecousia sp003525905,C02714_N-Acetylputrescine,-0.40117749507582,3.26598472809288e-12,-0.40989138370462613,1.7153118098855808e-15,Other,1.1066527805713424e-13,True
Alangreenwoodia gallinarii,C00134_Putrescine,0.3994711927573053,4.236017347216126e-12,0.4018558802090184,6.7252776250878775e-15,Polyamine,3.448860320557886e-13,True
ER4 sp000765235,"C03283_2,4-Diaminobutyrate",0.3979674812233147,5.307484735239241e-12,0.3664799049226865,1.803721077916289e-12,Other,3.757752245658935e-11,True
Acetatifactor intestinalis,C05332_Phenethylamine,-0.3956752068291416,7.393865947697983e-12,-0.3950654230946195,2.0739005294259113e-14,Other,9.217335686337383e-13,True
CAG-170 sp000432135,C08277_Sebacate,0.39577104938422153,7.393865947697983e-12,0.3970178626100653,1.504217079010469e-14,Other,7.162938471478422e-13,True
Acetatifactor intestinalis,C08277_Sebacate,0.39526024828165196,7.629146768586505e-12,0.39432184176106716,2.342426613179237e-14,Other,1.01844635355619e-12,True
ER4 sp900552015,C00695_Cholate,-0.39500223734978307,7.629146768586505e-12,-0.3694708883168983,1.1535719416852803e-12,Bile Acid,2.5353229487588576e-11,True
Faecivivens stercoravium,C02714_N-Acetylputrescine,0.3950458929553064,7.629146768586505e-12,0.40310322425367584,5.453164884432601e-15,Other,2.947656694287893e-13,True
Ruminococcus_C sp000980705,C05332_Phenethylamine,-0.39495402502152926,7.629146768586505e-12,-0.3713452072750918,8.696965070261988e-13,Other,2.0225500163399973e-11,True
Erysipelatoclostridium ramosum,C00398_Tryptamine,0.39474606113079574,7.732462458611448e-12,0.40758194473085463,2.5498819027859104e-15,Indole / Tryptophan,1.4570753730205201e-13,True
Acetatifactor sp003447295,C08277_Sebacate,0.39442734235111965,7.983634545592128e-12,0.38560249618157055,9.547281506862305e-14,Other,3.236366612495697e-12,True
CAG-103 sp900543625,C00695_Cholate,-0.3938671916061759,8.577500667043267e-12,-0.3809615032233346,1.983204131822106e-13,Bile Acid,5.508900366172517e-12,True
Acetatifactor sp003447295,C05629_3-Phenylpropionate,0.3932797053705356,9.25864222093776e-12,0.37662408904824457,3.88657354758547e-13,Other,1.0094996227494727e-11,True
Ruminococcus_D bicirculans,C05332_Phenethylamine,-0.3910015983208295,1.2905226169191394e-11,-0.38243143341457486,1.5752666165398215e-13,Other,4.6810287770326215e-12,True
Lachnospira eligens_A,C02678_Dodecanedioate,0.3911005986566199,1.2905226169191394e-11,0.4083677456302749,2.228872373609664e-15,Other,1.3508317415816145e-13,True
CAG-127 sp900319515,C02678_Dodecanedioate,0.39081109289579985,1.3066864988920484e-11,0.38944964641831603,5.1625732445928645e-14,Other,1.843776158783166e-12,True
Alangreenwoodia gallinarii,C02678_Dodecanedioate,-0.39037295694527313,1.353276193246394e-11,-0.4036331228865086,4.987098991958483e-15,Other,2.770610551088046e-13,True
Lachnospira eligens,C02678_Dodecanedioate,0.3904104376018078,1.353276193246394e-11,0.39564902961056325,1.8844858749468954e-14,Other,8.565844886122253e-13,True
Acetatifactor intestinalis,C02714_N-Acetylputrescine,-0.38938818392106606,1.5585852835420822e-11,-0.3897851052818113,4.8912247932017964e-14,Other,1.778627197527926e-12,True
Ruminococcus_D bicirculans,C02678_Dodecanedioate,0.3890233661019265,1.624694597979752e-11,0.3900700155494374,4.6717693263894364e-14,Other,1.7302849356997912e-12,True
Ruminococcus_E bromii_B,C08277_Sebacate,0.3880523090797194,1.8668141087656783e-11,0.3826580404721928,1.5201662944092984e-13,Other,4.6065645285130255e-12,True
UBA1685 sp900546845,C00134_Putrescine,0.38761783423392165,1.9683801883640414e-11,0.3940024665417121,2.4679527085753455e-14,Polyamine,1.0501926419469556e-12,True
Faecivivens stercoravium,C00431_5-Aminovalerate,0.3865201255213542,2.3073604948490686e-11,0.3928493266984472,2.978439549818694e-14,Other,1.2156896121708954e-12,True
CAG-170 sp000432135,C02714_N-Acetylputrescine,-0.386153935409234,2.4070187046247512e-11,-0.39870635803685334,1.137483454903316e-14,Other,5.548699780016175e-13,True
CAG-103 sp900543625,C08277_Sebacate,0.3857638282333464,2.520992099276421e-11,0.3927057227329099,3.048841534812482e-14,Other,1.2195366139249928e-12,True
Avispirillum faecium,C00431_5-Aminovalerate,0.3834808911947218,3.5622732938960594e-11,0.3463971775502198,3.224241271225218e-11,Other,3.8383824657443074e-10,True
UBA5905 sp900763035,C02656_Pimelate,-0.38268811748919423,3.9745951572611385e-11,-0.3533300897984317,1.2191750340011842e-11,Other,1.7416786200016916e-10,True
Acetatifactor sp003447295,C02714_N-Acetylputrescine,-0.38227634113179454,4.1154779664960375e-11,-0.382143363859707,1.6481387979949717e-13,Other,4.777213907231801e-12,True
Acetatifactor intestinalis,C00695_Cholate,-0.38234354778766605,4.1154779664960375e-11,-0.36193886032446454,3.524307078114e-12,Bile Acid,6.608084418914113e-11,True
ER4 sp000765235,C00134_Putrescine,-0.3818193933134547,4.2949587552515786e-11,-0.36610883227573804,1.9059576787168532e-12,Polyamine,3.889709548401741e-11,True
Faecousia sp003525905,"C03283_2,4-Diaminobutyrate",0.3818668467288937,4.2949587552515786e-11,0.3612509973295407,3.897081589897928e-12,Other,7.085602890723505e-11,True
Faecalibacterium prausnitzii_D,C05332_Phenethylamine,-0.38147659893108227,4.4680536012430806e-11,-0.3932198249295335,2.804071959598887e-14,Other,1.1683633164995362e-12,True
Faecousia sp003525905,C02656_Pimelate,0.38132459607415226,4.512071437146268e-11,0.371503746053045,8.490918362786577e-13,Other,1.997863144185077e-11,True
Acetatifactor sp003447295,C00803_Valerate,0.38048436188492113,5.074580225597969e-11,0.4077941913919188,2.4589621079648785e-15,Other,1.4464482988028697e-13,True
Gemmiger qucibialis,C00483_Tyramine,-0.379392308052438,5.934014423148125e-11,-0.3711835092098967,8.912148745936348e-13,Other,2.048769826652034e-11,True
Alistipes shahii,C01042_N-Acetylaspartate,0.37895765348822646,6.101115172657671e-11,0.3787497149461284,2.798414334574359e-13,Other,7.563281985336106e-12,True
Faecousia sp003525905,C05629_3-Phenylpropionate,0.37896410811460635,6.101115172657671e-11,0.3604244129039077,4.3961546555268055e-12,Other,7.514794282951804e-11,True
CAG-103 sp900543625,C02678_Dodecanedioate,0.3789877408096906,6.101115172657671e-11,0.38369371227164817,1.2914201605593666e-13,Other,4.03568800174802e-12,True
CAG-170 sp000432135,C17714_Heptanoate,0.37792547093444906,7.067348518408083e-11,0.38612866111129934,8.781464230849985e-14,Other,3.0812155195964858e-12,True
Clostridium_A leptum,C00431_5-Aminovalerate,-0.3773719785007631,7.600900544702586e-11,-0.36085493759258863,4.128896760408774e-12,Other,7.180690018102215e-11,True
CAG-170 sp000432135,C00695_Cholate,-0.377090801936241,7.838680487968552e-11,-0.35975751608795226,4.8438003789686464e-12,Bile Acid,8.07300063161441e-11,True
UBA3855 sp017460955,C08277_Sebacate,-0.376714736111525,8.203866489638559e-11,-0.3915339143741251,3.687589072345931e-14,Other,1.391543046168276e-12,True
Acetatifactor intestinalis,C00134_Putrescine,-0.3766048461168626,8.242115971680048e-11,-0.37521073881942607,4.828865001476558e-13,Polyamine,1.2072162503691393e-11,True
Faecalibacterium sp900539945,C00398_Tryptamine,-0.37635938606702213,8.456288346127968e-11,-0.38371151916337476,1.2877977516547288e-13,Indole / Tryptophan,4.03568800174802e-12,True
Alistipes putredinis,C08277_Sebacate,0.3760405131212062,8.775458065694634e-11,0.3567696919809822,7.45866412748601e-12,Other,1.1745927759820489e-10,True
Alistipes shahii,C00431_5-Aminovalerate,-0.37509585564699616,1.0024630354275207e-10,-0.3839418599240967,1.241826697159372e-13,Other,4.005892571481845e-12,True
ER4 sp900552015,"C03283_2,4-Diaminobutyrate",0.37274035835036445,1.4191783647801413e-10,0.3523926431114039,1.3924592859073652e-11,Other,1.9206334978032625e-10,True
Agathobacter rectalis,C05332_Phenethylamine,-0.3726055744421447,1.431881842959434e-10,-0.3702222242645898,1.0303006824784696e-12,Other,2.3415924601783403e-11,True
Acetatifactor intestinalis,C00803_Valerate,0.372368726211106,1.4674300908604374e-10,0.3967665556703749,1.5678874071484127e-14,Other,7.292499568132152e-13,True
CAG-170 sp000432135,C01046_N-Methylglutamate,0.37216751704235346,1.4959060259065589e-10,0.34544881696181107,3.6762173669202866e-11,Other,4.2746713568840543e-10,True
CAG-170 sp000432135,C00134_Putrescine,-0.371949779970004,1.5289187947836308e-10,-0.3857768313957329,9.286570279204777e-14,Polyamine,3.2022656135188883e-12,True
ER4 sp000765235,C00055_CMP,0.3714719564543022,1.6255514353120794e-10,0.38236595000628987,1.5915497841910914e-13,Nucleotide,4.6810287770326215e-12,True
Alistipes onderdonkii,C08277_Sebacate,0.37123421508862225,1.666731479365837e-10,0.35183028998235966,1.5076966506747165e-11,Other,2.0374279063171846e-10,True
ER4 sp000765235,C02656_Pimelate,0.3689038422298947,2.31672000799352e-10,0.3513822456098832,1.606117536299306e-11,Other,2.1273079950984187e-10,True
Alistipes shahii,C00134_Putrescine,-0.3689254804557875,2.31672000799352e-10,-0.3827720620208295,1.4931591229318804e-13,Polyamine,4.594335762867324e-12,True
Alistipes shahii,C06103_6-Hydroxyhexanoate,0.3684151043646915,2.466457276758646e-10,0.3686155830981579,1.3114815069269684e-12,Other,2.7610136987936175e-11,True
Gemmiger formicilis,C05332_Phenethylamine,-0.3682191749372625,2.513375917067597e-10,-0.3769339864058742,3.7053889379323596e-13,Other,9.751023520874631e-12,True
Acetatifactor intestinalis,C00364_dTMP,0.3677965898462669,2.6496414923715006e-10,0.3662113655071317,1.8771555590218125e-12,Other,3.8704238330346646e-11,True
Ruminococcus_E bromii_B,C02678_Dodecanedioate,0.3674609310827547,2.757350232411723e-10,0.3553505975935422,9.14153374208547e-12,Other,1.3543012951237732e-10,True
Acetatifactor intestinalis,C00055_CMP,0.36710091760947494,2.880001183931737e-10,0.3690598937675305,1.2269838242161697e-12,Nucleotide,2.6386748907874617e-11,True
CAG-170 sp000432135,"C03283_2,4-Diaminobutyrate",0.3670070975755088,2.891330032095892e-10,0.36073459746946834,4.201960485080272e-12,Other,7.244759457034951e-11,True
Gemmiger sp900540595,C05332_Phenethylamine,-0.3669217082642682,2.899338670557738e-10,-0.36111055265124514,3.977792313017441e-12,Other,7.103200558959716e-11,True
ER4 sp000765235,C02714_N-Acetylputrescine,-0.3666298274627075,2.998372228243535e-10,-0.3557926105994661,8.581137584989958e-12,Other,1.3100973412198408e-10,True
Acetatifactor sp003447295,C00134_Putrescine,-0.36597757825123683,3.2159587311160295e-10,-0.36089313624742164,4.1059650650685195e-12,Polyamine,7.180690018102215e-11,True
Acetatifactor intestinalis,C00431_5-Aminovalerate,-0.3659632178546831,3.2159587311160295e-10,-0.35468255194586246,1.0056849602381302e-11,Other,1.4681532266250076e-10,True
Ruminococcus_C callidus,C05332_Phenethylamine,-0.3660220260610242,3.2159587311160295e-10,-0.35041148280285067,1.8413339861508947e-11,Other,2.391342839157006e-10,True
Alistipes shahii,C17714_Heptanoate,0.36583807913872496,3.245320498044026e-10,0.372326596775574,7.495783629729005e-13,Other,1.7847103880307153e-11,True
Agathobacter sp900317585,C05332_Phenethylamine,-0.3656671793372866,3.297512659848616e-10,-0.3562122213867662,8.080228949967631e-12,Other,1.2431121461488662e-10,True
Alistipes shahii,C00803_Valerate,0.3652471173294866,3.4448481905691013e-10,0.3817814818665528,1.7443692829079953e-13,Other,4.9839122368799865e-12,True
Faecousia sp000434635,C02656_Pimelate,0.3652969367657968,3.4448481905691013e-10,0.364178507770985,2.536140461150614e-12,Other,5.0722809223012274e-11,True
Alistipes shahii,C02714_N-Acetylputrescine,-0.36517799137112494,3.4486380437420135e-10,-0.37295902863980046,6.809309775631492e-13,Other,1.640797536296745e-11,True
Acetatifactor sp003447295,C00695_Cholate,-0.3646610170951905,3.6890696096083183e-10,-0.33800122810111327,1.0143641354030197e-10,Bile Acid,1.024610237780828e-09,True
ER4 sp900552015,C02714_N-Acetylputrescine,-0.3641434684033939,3.946376767454017e-10,-0.3758888367446934,4.351804335924581e-13,Other,1.1017226166897672e-11,True
Acetatifactor sp003447295,C00364_dTMP,0.3638901252814201,4.0417204700576355e-10,0.3568423555875441,7.381164854629652e-12,Other,1.1716134689888337e-10,True
Faecousia sp003525905,C00134_Putrescine,-0.36386143021507855,4.0417204700576355e-10,-0.37852138464092405,2.8992495707768253e-13,Polyamine,7.731332188738201e-12,True
Clostridium_A leptum,C06104_Adipate,0.3635510888260112,4.1939109857432803e-10,0.36261954312111155,3.189779307397314e-12,Other,6.075770109328217e-11,True
Eubacterium_G ventriosum,C02678_Dodecanedioate,0.3623460421001713,4.962692476317161e-10,0.3482447861708232,2.4938988761677993e-11,Other,3.0749886646579603e-10,True
Agathobacter sp900546625,C05332_Phenethylamine,-0.3620664400612867,5.125975936256554e-10,-0.35373361694159167,1.151232751985517e-11,Other,1.656450002856859e-10,True
ER4 sp900552015,C00134_Putrescine,-0.3618647606782473,5.234794469257588e-10,-0.3692264743675538,1.1966949605625466e-12,Polyamine,2.601510783831623e-11,True
Veillonella atypica,C06104_Adipate,-0.36178691068925145,5.250257455295731e-10,-0.34442492068752983,4.2334809086871556e-11,Other,4.810773759871768e-10,True
CAG-41 sp900066215,C05332_Phenethylamine,-0.3616524282828426,5.309908186476487e-10,-0.34740958550725803,2.801523323914573e-11,Other,3.3957858471691794e-10,True
Clostridium_A leptum,C02714_N-Acetylputrescine,-0.3611642605343561,5.655249556674089e-10,-0.3396684701410018,8.100893266700693e-11,Other,8.572373827196501e-10,True
Alistipes putredinis,C00803_Valerate,0.3597558445027354,6.885426379296016e-10,0.35562832766289143,8.785392638026797e-12,Other,1.3264326933351996e-10,True
ER4 sp000765235,C00803_Valerate,0.3596153998042715,6.970145255871956e-10,0.3840759860279086,1.2158018194015777e-13,Other,3.986235473447796e-12,True
Scatavimonas merdipullorum,C00431_5-Aminovalerate,0.35955015196171636,6.979723620891628e-10,0.35647013410887135,7.786624864915987e-12,Other,1.207228661227285e-10,True
Lachnospira sp003451515,C05332_Phenethylamine,-0.35900148918118513,7.497188003052919e-10,-0.3639332321978472,2.6295257766892947e-12,Other,5.206981736018405e-11,True
Gemmiger qucibialis,C02678_Dodecanedioate,0.3585936683252568,7.889961143043759e-10,0.35148334280162147,1.5833767162607312e-11,Other,2.1111689550143083e-10,True
Clostridium_A leptum,C00134_Putrescine,-0.35785792283182427,8.705640567292697e-10,-0.33178604847265697,2.3181561399446556e-10,Polyamine,2.176672431872916e-09,True
Faecousia sp000434635,C02678_Dodecanedioate,0.3575859987202597,8.983060866877714e-10,0.36335479542466276,2.863252832700261e-12,Other,5.5597142382529343e-11,True
Alistipes putredinis,C00431_5-Aminovalerate,-0.35735100083347743,9.220379949954615e-10,-0.34248827760829315,5.521123803520952e-11,Other,6.10068928565851e-10,True
ER4 sp000765235,C00364_dTMP,0.3570669161745521,9.53135584310927e-10,0.3493818423699479,2.1274816938885447e-11,Other,2.676077602375528e-10,True
Avimicrobium caecorum,C02714_N-Acetylputrescine,-0.35691358315445065,9.669521614091609e-10,-0.35558495926529915,8.840099566203204e-12,Other,1.3264326933351996e-10,True
Acutalibacter sp910580045,C05332_Phenethylamine,0.35643355348151895,1.02814671564331e-09,0.3429124837224905,5.209948226251922e-11,Other,5.788831362502136e-10,True
Faecousia sp000434635,"C03283_2,4-Diaminobutyrate",0.35615204342333623,1.0624769705905974e-09,0.3482097468032321,2.5061157616962377e-11,Other,3.0749886646579603e-10,True
Agathobacter rectalis,C00398_Tryptamine,-0.3555854316522783,1.1437259981268364e-09,-0.36987872357902435,1.0849727616333976e-12,Indole / Tryptophan,2.4110505814075502e-11,True
Erysipelatoclostridium ramosum,C02678_Dodecanedioate,-0.35504176580138636,1.227029696691419e-09,-0.3652788013549321,2.155561634458552e-12,Other,4.3546699686031355e-11,True
ER4 sp000765235,C00431_5-Aminovalerate,-0.35498440748142196,1.228027722963593e-09,-0.3317231499357516,2.33740690911415e-10,Other,2.184492438424439e-09,True
UBA737 sp902762875,C00431_5-Aminovalerate,0.354634588221373,1.2814808646366287e-09,0.3289536038563983,3.3579377551661767e-10,Other,3.052670686514706e-09,True
Gemmiger formicilis,C00483_Tyramine,-0.3544365165459247,1.3086407444327051e-09,-0.34969690947033694,2.035606623369179e-11,Other,2.58107830196048e-10,True
Ruminococcus_E bromii_B,C02656_Pimelate,0.35430949595403355,1.3229602012638507e-09,0.3456507241373566,3.575094195416014e-11,Other,4.2013586852036064e-10,True
Agathobacter sp900317585,C00398_Tryptamine,-0.35314214658987414,1.5506847844958576e-09,-0.3574408969159038,6.7719853228322054e-12,Indole / Tryptophan,1.0922556972310008e-10,True
Ruminococcus_E bromii,C08277_Sebacate,0.353043693170267,1.5613452299806006e-09,0.3464666818695398,3.193334758409622e-11,Other,3.8243530040833794e-10,True
Ruminiclostridium_E sp910579265,C02678_Dodecanedioate,-0.3529517524864187,1.570699126994736e-09,-0.35459064540791857,1.0189570196572829e-11,Other,1.4767493038511346e-10,True
Faecousia sp000434635,C05629_3-Phenylpropionate,0.3523883178993946,1.677586275019878e-09,0.34969260135137076,2.0368364126030743e-11,Other,2.58107830196048e-10,True
UBA1206 sp000433115,C00695_Cholate,0.3524193534489939,1.677586275019878e-09,0.3516886964723398,1.5381467883760635e-11,Bile Acid,2.064626561578609e-10,True
Alistipes shahii,C05629_3-Phenylpropionate,0.35165981472068375,1.834798782723586e-09,0.3395469811861573,8.235102474376004e-11,Other,8.668528920395794e-10,True
CAG-127 sp900319515,C05332_Phenethylamine,-0.3516569805454772,1.834798782723586e-09,-0.333851073497084,1.765106173989525e-10,Other,1.7054165932265944e-09,True
CAG-103 sp900543625,"C03283_2,4-Diaminobutyrate",0.35112617776362287,1.9639727711570713e-09,0.3392930893750873,8.522602924325053e-11,Other,8.877711379505263e-10,True
Acetatifactor sp003447295,C00431_5-Aminovalerate,-0.35075153699324313,2.0563691976108627e-09,-0.33431807359301136,1.659123772192324e-10,Other,1.610799778827499e-09,True
Veillonella atypica,C08277_Sebacate,-0.35018467176147944,2.211993756972831e-09,-0.3609069222281132,4.097719531700016e-12,Other,7.180690018102215e-11,True
Ruminococcus_E bromii,C02656_Pimelate,0.35011352626197334,2.219307487550921e-09,0.35042584319940445,1.8376212910928442e-11,Other,2.391342839157006e-10,True
Faecousia sp000434635,C02714_N-Acetylputrescine,-0.34988675391277724,2.2759015690639733e-09,-0.36883443554163675,1.2691737135739438e-12,Other,2.7003696033488166e-11,True
UBA1685 sp900546845,C02714_N-Acetylputrescine,0.3495263079592785,2.3642904752067857e-09,0.3524055674683023,1.3899144727486723e-11,Other,1.9206334978032625e-10,True
Acetatifactor sp003447295,C00055_CMP,0.3495211215221479,2.3642904752067857e-09,0.3496848467372317,2.0390518585487794e-11,Nucleotide,2.58107830196048e-10,True
Lachnospira sp003537285,C05332_Phenethylamine,-0.34930387718037653,2.4215031164382933e-09,-0.36189233263963044,3.5483841955620325e-12,Other,6.608084418914113e-11,True
Gemmiger qucibialis,C00398_Tryptamine,-0.34911246385000555,2.471200671825915e-09,-0.3555479094421905,8.887099045345838e-12,Indole / Tryptophan,1.3264326933351996e-10,True
ER4 sp900552015,C02656_Pimelate,0.34892017576602824,2.5222859002285863e-09,0.35017367463592086,1.9038900366038644e-11,Other,2.456632305295309e-10,True
UBA737 sp902762875,C02714_N-Acetylputrescine,0.3487752592195182,2.5575018454528187e-09,0.33949413492683955,8.29415519707009e-11,Other,8.684979263947739e-10,True
Lachnospira eligens_A,C05332_Phenethylamine,-0.3486839365464732,2.5739473395828163e-09,-0.3573406613479587,6.870466250676377e-12,Other,1.0992746001082203e-10,True
Avimicrobium caecorum,C00334_GABA,-0.34840361215670757,2.659852361737825e-09,-0.3611886732084974,3.93269876330274e-12,Other,7.085943717662594e-11,True
CAG-103 sp900757655,C00695_Cholate,-0.3476175240493561,2.9492425405025587e-09,-0.32550165173281165,5.247772600799485e-10,Bile Acid,4.485275727179047e-09,True
Gemmiger sp900540595,C00398_Tryptamine,-0.34641026007551046,3.4658787758594916e-09,-0.34457800251479265,4.145218344378101e-11,Indole / Tryptophan,4.764618786641496e-10,True
Alangreenwoodia gallinarii,C00803_Valerate,-0.34622906702644607,3.532034240394792e-09,-0.35761523213006613,6.603972909536272e-12,Other,1.0738167332579304e-10,True
Eubacterium_F sp003491505,C02678_Dodecanedioate,0.34592707326914,3.660200346283392e-09,0.32831456620975713,3.648820613808081e-10,Other,3.2724848554332566e-09,True
ER4 sp000765235,C01042_N-Acetylaspartate,0.3455909848876931,3.8109011280034974e-09,0.3390713648522976,8.781652142710985e-11,Other,9.053249631660809e-10,True
Scatavimonas merdipullorum,C08277_Sebacate,-0.3455024479916507,3.834417676407679e-09,-0.3763248183840648,4.0697534004301855e-13,Other,1.0435265129308168e-11,True
Agathobacter sp900546625,C00398_Tryptamine,-0.3452118814552117,3.967311329274933e-09,-0.3456162591856276,3.5921616758490836e-11,Indole / Tryptophan,4.2013586852036064e-10,True
Alistipes onderdonkii,"C03283_2,4-Diaminobutyrate",0.34513845004925603,3.983709453466528e-09,0.33677657348301077,1.1955249367736432e-10,Other,1.1955249367736431e-09,True
