metabolite,taxon,mean_flux,std_flux,n_samples
co2[e],kashiwanohense,316.6375766734519,,1
ala_L[e],faecis,316.15387156650496,,1
lac_D[e],fergusonii,308.17175126050597,,1
for[e],xylaniphila,307.18983712724514,,1
h2o[e],parvula,306.44157577068626,273.7329486566577,2
co2[e],goldsteinii,305.42107625273394,,1
nh4[e],virosa,304.9093748642743,,1
ins[e],laneus,304.48714033763633,,1
lac_D[e],distasonis,304.4409040156539,,1
ac[e],xylaniphila,303.7166388477182,,1
fum[e],formicigenerans,300.6768477851336,,1
etoh[e],parasanguinis,300.0,,1
ac[e],parasanguinis,300.0,,1
asp_L[e],spiroforme,300.0,,1
ala_L[e],thermophilus,299.99999999999955,282.8427124746184,2
pro_L[e],adolescentis,299.9999999999991,,1
for[e],corporis,299.9730188906806,,1
val_L[e],parasanguinis,299.889102689036,,1
co2[e],faecis,297.50916151862043,,1
co2[e],xylaniphila,295.9777303409096,,1
dad_2[e],fluxus,295.43748759133825,,1
h2o[e],vestibularis,293.65382097081283,,1
ac[e],thetaiotaomicron,292.18016237871154,170.92219711631296,3
co2[e],clara,291.3084056190486,198.54416543713668,3
co2[e],fergusonii,290.7231039745676,,1
nh4[e],nordii,288.96013368299356,178.2061168648136,2
val_L[e],adolescentis,286.69052535877887,,1
akg[e],excrementihominis,286.2814880720604,,1
nh4[e],formicigenerans,286.001075553136,,1
lac_D[e],splanchnicus,285.2941176470652,,1
lac_D[e],parvula,282.99496911928816,258.7939671745459,2
acald[e],mitsuokai,282.0852584909477,,1
for[e],clara,278.79191212339884,226.46874297327471,3
glc_D[e],distasonis,277.71344951269015,385.0563177079175,2
asp_L[e],capillosus,276.2176585769664,,1
val_L[e],kashiwanohense,275.1804446308671,,1
h2o[e],xylanisolvens,268.6707212819503,145.35675001265002,2
co2[e],colihominis,266.6666666666687,235.702260395519,2
h2[e],fluxus,266.09720476846854,,1
nh4[e],salyersiae,265.8668572275301,125.98139213234347,2
ala_L[e],oleiciplenus,264.7954881110513,292.7569718111364,3
h2o[e],mitsuokai,264.1705169818973,,1
for[e],conceptionensis,261.98022752699495,,1
h2o[e],clara,260.9010856897478,,1
co2[e],asburiae,260.6569878156469,,1
for[e],melaninogenica,259.7090337167763,,1
val_L[e],dentium,256.66293822249554,,1
gln_L[e],jalaludinii,253.01591045719246,,1
h[e],stercorea,252.4337369019065,,1
ac[e],plautii,252.00885852961432,73.64672435944865,2
h2o[e],spiroforme,250.00000000006008,,1
acald[e],parasanguinis,249.33461610642564,,1
ac[e],salyersiae,248.3612806580491,162.9700858994326,2
gln_L[e],nordii,247.2931747673203,,1
nh4[e],oleiciplenus,247.1756086698026,293.387490321018,3
fum[e],parvula,247.02014743131252,74.92482603516488,2
co2[e],clarus,246.35582015368485,87.93551055665185,3
pi[e],asburiae,246.04336761085938,,1
pi[e],albertii,245.29845317704263,,1
for[e],longum,243.0557281818272,,1
co2[e],oleiciplenus,240.5169106216873,279.6611282697983,2
co2[e],dentium,239.26549434317928,274.5829328209574,2
glyc[e],longum,237.9788408139271,,1
ade[e],fluxus,237.53751419248024,53.0860616687781,2
h[e],succinatiphilus,235.78158594259511,,1
nh4[e],xylaniphila,234.0350462150276,,1
co2[e],salyersiae,233.582947442328,212.77668744997732,3
ac[e],tannerae,233.3333333333631,,1
h2o[e],ovatus,232.67468985789455,179.6325007820969,3
ala_L[e],adolescentis,232.6167167576788,45.10029255658401,2
fum[e],distasonis,227.94682878119906,111.82659672089731,3
h2o[e],capillosus,223.78234142302287,,1
for[e],plautii,221.75285085281263,,1
pyr[e],colihominis,216.6666666666647,94.28090415820267,2
h2o[e],ruminicola,214.36400348967138,,1
asp_L[e],ramosum,214.12122014326974,70.02498747078312,2
for[e],buccae,212.8490173265548,,1
lac_L[e],pseudocatenulatum,210.11049325004353,1.4419097458290633,2
h2o[e],distasonis,208.28667089010642,180.19098105789598,3
lac_D[e],prausnitzii,205.57693417596528,,1
succ[e],nordii,205.1411285405197,235.81431112217865,3
gln_L[e],adolescentis,204.18089017332852,,1
lac_D[e],muciniphila,203.81267610311548,,1
nh4[e],faecis,203.20082726373244,102.45819983698985,3
co2[e],succinatiphilus,201.1670008201448,,1
pyr[e],bartlettii,201.13412055178966,,1
acald[e],fluxus,200.77033271010703,1.7711328164636269,2
acald[e],nordii,200.19299108622653,1.023907863551046,2
adn[e],xylaniphila,200.1598799322535,,1
gln_L[e],hansenii,200.0000000000015,,1
glu_L[e],adolescentis,200.00000000000023,,1
7ocholate[e],filiformis,200.0,,1
gsn[e],tannerae,200.0,,1
ins[e],parasanguinis,200.0,,1
co2[e],tannerae,200.0,,1
dcyt[e],tannerae,200.0,,1
ocdca[e],putredinis,200.0,,1
fum[e],colihominis,200.0,0.0,2
lac_L[e],catenulatum,199.99999999999994,12.856486930664625,2
dad_2[e],tannerae,199.99999999998215,,1
h2o[e],thermophilus,199.9999999999466,,1
acald[e],laneus,199.9122292486194,,1
adn[e],vestibularis,199.78891832414556,,1
asp_L[e],wadsworthia,199.76558524935126,87.33750454192206,2
pyr[e],ramosum,198.3911886194402,74.86371871029922,2
pro_L[e],laneus,197.06723893525327,,1
nh4[e],parvula,196.1285050299129,,1
glc_D[e],angulatum,195.23809523809555,,1
succ[e],goldsteinii,194.5046018085194,,1
co2[e],albertii,194.45725521514862,,1
dcyt[e],faecis,193.89609193765853,,1
ade[e],salyersiae,193.4382827208039,2.997066075198011,2
dcyt[e],salyersiae,192.7859329032517,,1
xtsn[e],asburiae,188.8290816276105,,1
xtsn[e],albertii,188.76669444820797,,1
gln_L[e],bifidum,188.50329209386908,,1
ala_L[e],nordii,188.13898851912452,,1
gln_L[e],fergusonii,187.8021657508267,,1
uri[e],albertii,187.1471221036843,,1
acald[e],jalaludinii,186.44980159393955,,1
co2[e],excrementihominis,185.15496061548876,,1
dgsn[e],pullicaecorum,184.61081660897815,,1
h2o[e],bartlettii,183.33333333333337,,1
asp_L[e],mitsuokai,182.0852584909495,,1
ac[e],vestibularis,180.92005510412972,,1
co2[e],adolescentis,178.5884557852584,242.60322114814255,2
uri[e],jalaludinii,173.4341975596176,,1
ac[e],distasonis,173.40902687298183,109.70237344826509,3
succ[e],conceptionensis,171.82965724229956,,1
ade[e],virosa,171.5321425903861,,1
nh4[e],prausnitzii,171.2527699792642,133.4704118581788,2
co2[e],vestibularis,170.90206377254506,,1
nh4[e],fluxus,169.12640407486379,26.544266428890474,2
fum[e],fergusonii,169.01752925185576,,1
h[e],tannerae,166.6666666667261,,1
glu_L[e],parasanguinis,166.66666666666669,94.2809041582064,2
adn[e],parasanguinis,166.66666666666657,,1
h[e],colihominis,166.66666666666384,,1
etoh[e],plautii,165.25254246267895,91.97902167383585,3
akg[e],asburiae,164.9033639826617,,1
co2[e],ovatus,164.74367917996716,,1
gln_L[e],albertii,164.4192212076647,,1
gua[e],salyersiae,162.6670027999531,57.799473148772904,3
nh4[e],ramosum,162.54543649582376,24.170169903616596,2
ade[e],faecis,160.47413084762582,56.30738714355941,3
nh4[e],breve,159.69391316003052,6.838494225890063,2
etoh[e],kashiwanohense,158.3959106419387,147.02545498200485,2
glu_L[e],excrementihominis,157.34784919839493,,1
succ[e],melaninogenica,153.2538456806549,,1
lac_D[e],melaninogenica,153.08073810678275,,1
val_L[e],nordii,152.27146201823598,,1
gua[e],nordii,151.45098094029007,76.63172005525519,3
glyclt[e],albertii,150.03873341725574,,1
ala_D[e],fergusonii,150.01582867983032,,1
dcyt[e],parasanguinis,150.0,70.71067811865476,2
h2o[e],colihominis,150.0,,1
ocdca[e],merdae,149.94665477280813,86.69493702228151,3
ins[e],bryantii,149.65895262597556,,1
asp_L[e],atypica,149.37946562950836,,1
ala_D[e],albertii,149.3377010252959,,1
lac_D[e],bryantii,148.19852694931623,,1
ade[e],nordii,145.66324081069033,68.36400654327676,2
for[e],clarus,145.5672394370039,205.36153728018198,2
dad_2[e],clara,145.361964101568,130.54301822026744,3
nh4[e],succinatiphilus,145.16081077995992,,1
pi[e],virosa,144.49549298359733,,1
xtsn[e],fergusonii,144.07400110915188,,1
lac_D[e],jalaludinii,143.39118782897447,,1
ac[e],formicigenerans,143.38972617612697,,1
h2o[e],buccae,142.19630637936984,,1
co2[e],thermophilus,139.999999999993,84.85281374237573,2
acald[e],faecis,139.17387647795795,52.923989467893456,3
fru[e],adolescentis,138.21617909819886,,1
gln_L[e],kashiwanohense,135.70843576570613,72.59706902842305,2
ins[e],albertii,135.37337707258553,,1
gln_L[e],buccae,135.20690523475395,,1
lac_L[e],wadsworthia,134.62282559462366,117.36976593379455,2
h2o[e],goldsteinii,134.4899223317516,,1
etoh[e],pilosicoli,133.50521440407172,,1
for[e],tannerae,133.3333333333631,,1
nh4[e],hansenii,133.33333333333908,,1
thr_L[e],xylanisolvens,132.5878579555546,116.39819117687036,2
fuc_L[e],longum,132.4160106490906,,1
gly[e],disiens,132.33736850333642,,1
nh4[e],fragilis,131.72101774618332,,1
4abut[e],fergusonii,131.1696018675699,,1
ins[e],fergusonii,130.65717453591597,,1
dad_2[e],oleiciplenus,129.0468373209816,87.22162232022995,2
succ[e],laneus,127.1963230092,,1
nh4[e],colihominis,125.00000000000009,106.066017177982,2
ppa[e],clara,124.84644423992737,25.38925966888399,2
gln_L[e],conceptionensis,124.80995103013856,,1
gua[e],faecis,124.39500769571367,59.67702696525726,3
ade[e],disiens,124.24003276557507,,1
pro_L[e],merdae,123.79388160311258,132.58688993052934,3
glyc[e],adolescentis,123.10340519764948,74.88366330097534,3
gln_L[e],longum,122.9433537520097,,1
h2o[e],splanchnicus,122.17530646845603,,1
ac[e],succinatiphilus,121.95876070619514,,1
cys_L[e],prausnitzii,121.82344782327485,138.85684081776031,2
h2o[e],thetaiotaomicron,121.67698055742892,86.21965140608123,2
ura[e],prausnitzii,121.42486959328482,111.12201508641101,2
fum[e],pullicaecorum,121.24699101374247,,1
succ[e],salyersiae,121.19766492307613,46.85514216702433,2
h2o[e],wadsworthia,120.6932204518397,,1
glu_L[e],splanchnicus,120.5882352940751,,1
h2o[e],ramosum,119.96700234960569,23.18834219990995,2
adn[e],ruminicola,119.12619727755654,,1
12ppd_S[e],fluxus,118.28072025534429,25.852842515056448,2
leu_L[e],merdae,117.94871794871958,,1
succ[e],disiens,117.65179146586604,,1
leu_L[e],hansenii,116.66666666666976,,1
ala_L[e],bartlettii,116.66666666666666,,1
h[e],hansenii,116.66666666666663,,1
acald[e],clara,116.61948821990777,,1
co2[e],thetaiotaomicron,116.50688805266351,97.84600489135858,3
succ[e],clarus,115.98444479986381,,1
etoh[e],vestibularis,115.07690785634028,,1
nh4[e],clarus,114.96363646438215,87.61957527481643,2
ade[e],conceptionensis,114.73524549328629,,1
h[e],intestinihominis,114.39615543838484,,1
nh4[e],excrementihominis,113.80003878004428,159.79799593406366,2
glyc[e],breve,112.60244013222946,16.50474089866442,2
lac_D[e],atypica,112.5810714762853,74.17614268082349,2
nh4[e],thetaiotaomicron,112.48712570423254,,1
lac_L[e],thetaiotaomicron,112.40155351645767,139.35043600656007,3
glu_L[e],plautii,112.28879767022615,68.94927564833536,3
h2o[e],intestinihominis,111.7539300882613,,1
adn[e],clarus,111.51601914093948,32.917969065574496,2
gsn[e],fluxus,110.43858034987169,59.15970473128681,3
val_L[e],fluxus,110.30789096044036,,1
fru[e],ovatus,109.98600951735517,,1
acald[e],salyersiae,109.1472740463001,94.51312937994211,3
adn[e],salyersiae,108.9760543962983,,1
val_L[e],salyersiae,108.59948920888793,,1
ade[e],buccae,107.85124802701284,,1
fum[e],plautii,107.58274247276627,65.99696242846362,2
fru[e],prausnitzii,106.33305951074232,38.184153427691705,2
acald[e],thermophilus,106.27546862265054,,1
pyr[e],parvula,105.30377515658098,,1
h2o[e],cellulosilyticus,104.34096765964911,129.42164981931708,2
glu_L[e],atypica,103.47935493401053,,1
succ[e],fluxus,102.77918556740019,31.316806109935595,3
co2[e],bifidum,102.65044689034296,,1
val_L[e],laneus,101.93230546327074,,1
acald[e],goldsteinii,101.8022696893964,,1
but[e],pilosicoli,101.71660841169073,,1
ac[e],albensis,101.59220688173316,,1
co2[e],albensis,101.2759698871419,,1
glyc[e],dentium,100.72006284991497,0.3138935523349523,2
glyc[e],kashiwanohense,100.69703999023545,,1
ala_L[e],atypica,100.68073416178626,120.80144869340738,2
ade[e],clarus,100.6596888975467,,1
fum[e],excrementihominis,100.54370451761721,1.146656544569155,2
pi[e],plautii,100.38710328561403,6.234354411551327,3
glyc[e],bifidum,100.3667789151493,,1
gcald[e],distasonis,100.29836832671351,,1
ade[e],corporis,100.26364748467577,,1
glu_L[e],breve,100.12735027479596,42.24747666069017,2
adn[e],oleiciplenus,100.11745852870773,,1
ins[e],fragilis,100.09014633752402,,1
ade[e],albensis,100.03344402380651,,1
glu_L[e],thermophilus,100.00000000000571,8.08409048996078e-12,2
fum[e],hansenii,100.00000000000179,,1
pi[e],tannerae,100.00000000000001,,1
cholate[e],angulatum,100.0,,1
dad_2[e],bartlettii,100.0,,1
cholate[e],formicigenerans,100.0,,1
lac_D[e],inulinivorans,100.0,,1
cholate[e],hadrus,100.0,,1
cholate[e],albertii,100.0,,1
pro_L[e],equolifaciens,100.0,,1
glu_L[e],angulatum,100.0,,1
gln_L[e],tannerae,100.0,,1
glu_L[e],catenulatum,100.0,0.0,2
ura[e],parvula,100.0,,1
urea[e],merdae,100.0,,1
urea[e],xylanisolvens,100.0,,1
cholate[e],fragilis,100.0,,1
crn[e],albertii,100.0,,1
pro_L[e],xylanisolvens,100.0,,1
pro_L[e],parasanguinis,100.0,,1
cholate[e],thetaiotaomicron,100.0,0.0,2
gln_L[e],colihominis,100.0,0.0,2
succ[e],putredinis,100.0,,1
thr_L[e],colihominis,100.0,,1
acald[e],filiformis,100.0,,1
nh4[e],equolifaciens,100.0,,1
ala_D[e],spiroforme,100.0,,1
ade[e],jalaludinii,100.0,,1
h2o[e],filiformis,100.0,,1
lald_L[e],clara,100.0,0.0,2
nac[e],colihominis,100.0,,1
dad_2[e],parasanguinis,100.0,,1
lald_L[e],xylaniphila,100.0,,1
ser_L[e],tannerae,100.0,,1
dgsn[e],angulatum,100.0,,1
asp_L[e],filiformis,100.0,,1
lac_L[e],filiformis,100.0,,1
dgsn[e],parasanguinis,100.0,,1
C02528[e],xylanisolvens,100.0,,1
glyc[e],parasanguinis,100.0,,1
gsn[e],clarus,100.0,,1
C02528[e],fragilis,100.0,,1
7dhcdchol[e],xylanisolvens,100.0,0.0,2
C02528[e],albertii,100.0,,1
7dhcdchol[e],filiformis,100.0,,1
gly[e],hansenii,100.0,,1
gln_L[e],bartlettii,100.0,,1
gly[e],pullicaecorum,100.0,,1
gly[e],spiroforme,100.0,,1
xan[e],bifidum,100.0,,1
gly[e],angulatum,100.0,,1
gly[e],colihominis,100.0,,1
gly[e],catenulatum,100.0,0.0,2
gly[e],capillosus,100.0,,1
12ppd_S[e],bifidum,100.0,,1
12dhchol[e],ramosum,100.0,0.0,2
12dhchol[e],prausnitzii,100.0,,1
12dhchol[e],mitsuokai,100.0,,1
nh4[e],invisus,99.99999999999999,,1
gly[e],pseudocatenulatum,99.99999999999974,3.6174930248074177e-13,2
2obut[e],cellulosilyticus,99.99999999999937,,1
oaa[e],parvula,99.99999999999591,,1
h2o[e],tannerae,99.99999999998212,,1
cytd[e],vestibularis,99.94388065869984,,1
gsn[e],bryantii,99.92149582851748,,1
glu_L[e],pseudocatenulatum,99.92036019845244,0.11262768745325252,2
dcyt[e],vestibularis,99.91647833449133,,1
adn[e],parvula,99.8961272938538,0.14689818979235392,2
dgsn[e],vestibularis,99.88602128270158,,1
glyc[e],excrementihominis,99.80159063758808,0.268706423499047,2
nac[e],fluxus,99.79556810103854,,1
acald[e],xylaniphila,99.73242334821626,,1
dad_2[e],nordii,99.63515665490263,,1
thr_L[e],vestibularis,99.59863199630524,,1
nac[e],asburiae,99.58851521039084,,1
nac[e],albertii,99.5828389573217,,1
h2o[e],albensis,99.51727235390581,,1
uri[e],salyersiae,99.43030381975214,,1
hxan[e],formicigenerans,99.35531383887925,,1
h2o[e],adolescentis,99.33602830216522,,1
ade[e],stercorea,99.29535874797072,,1
pi[e],parvula,99.26327424515544,1.0418875542507278,2
arg_L[e],plautii,99.09209251539008,,1
uri[e],faecis,99.03235482147491,,1
gua[e],laneus,98.95566789190843,,1
indole[e],clarus,98.92920786306742,1.5143287625325255,2
succ[e],parvula,98.86541157328166,1.6045503407853081,2
glu_L[e],vestibularis,98.8576655021455,,1
indole[e],fragilis,98.83752466925804,,1
indole[e],splanchnicus,98.82179416634318,0.006489785365933494,2
h2o[e],merdae,98.6608438172772,83.6902156634221,2
ade[e],succinatiphilus,98.47426513830852,,1
acnam[e],fragilis,98.3046916882351,,1
dgsn[e],succinatiphilus,98.3000592158081,,1
lys_L[e],atypica,98.25431814350256,,1
phe_L[e],laneus,98.14095968752875,,1
ile_L[e],atypica,98.10378204949095,,1
indole[e],virosa,98.08035629417816,,1
gsn[e],clara,98.06039958253236,0.1312409325254997,2
phe_L[e],fragilis,98.05837854270465,2.635864911842021,2
uri[e],fluxus,98.03326645993332,0.37468154789384267,2
indole[e],pilosicoli,97.99568187537794,,1
succ[e],fragilis,97.79475451249272,31.71778187903449,3
glu_L[e],formicigenerans,97.76824156471389,,1
etoh[e],multacida,97.62583024689604,,1
pi[e],intestinihominis,97.28120015166488,,1
gly[e],longum,97.25977594310541,,1
gsn[e],xylaniphila,97.24202599021918,,1
phe_L[e],thetaiotaomicron,97.16021947678922,1.1605006456248732,3
ade[e],melaninogenica,97.1517558026786,,1
ade[e],kashiwanohense,97.14978608673891,0.37620917687737665,2
phe_L[e],succinatiphilus,97.0347928085034,,1
gua[e],corporis,96.9226861965295,,1
uri[e],nordii,96.8825751092055,3.0058478551087817,2
indole[e],fergusonii,96.82662927352864,,1
gua[e],conceptionensis,96.74618301908775,,1
gly[e],adolescentis,96.74549093322821,5.636975057342032,3
gsn[e],oleiciplenus,96.68176943504665,0.27163580797586806,2
ins[e],splanchnicus,96.12482289052548,5.48032802481442,2
gua[e],melaninogenica,95.96021757269867,,1
asp_L[e],multacida,95.9110875467318,,1
cys_L[e],asburiae,95.7635604415528,,1
gln_L[e],albensis,95.73975206491198,,1
phe_L[e],bifidum,95.59974188832877,,1
uri[e],kashiwanohense,95.48366353684631,,1
gua[e],disiens,95.07024008490158,,1
uri[e],distasonis,95.01407399269259,,1
gsn[e],ruminicola,94.86815865111134,,1
pro_L[e],goldsteinii,94.8515111777304,,1
lys_L[e],bifidum,94.80488775078864,,1
orn[e],clarus,94.69905190380496,5.619824996141961,3
ala_L[e],succinatiphilus,94.64743467834387,,1
orn[e],oleiciplenus,94.60068267502017,4.53186822539255,3
uri[e],ruminicola,94.59748634266896,,1
phe_L[e],kashiwanohense,94.50757386385176,0.7249635215534351,2
succ[e],plautii,94.49035650214414,,1
h2s[e],fergusonii,94.46438345309684,,1
h2s[e],albertii,94.4536374789135,,1
gsn[e],albensis,94.0893810172396,,1
indole[e],oleiciplenus,94.07359320182103,7.829782776593843,3
phe_L[e],fluxus,93.53324607288116,1.1817058543338337,2
orn[e],fluxus,93.43948708758934,1.5759393802411799,3
orn[e],nordii,93.37077752896896,3.5632874079618584,3
pi[e],atypica,93.3383963982331,,1
gua[e],virosa,93.31217557159812,,1
gua[e],clarus,92.9156943927182,,1
gly[e],stercorea,92.79572241533761,,1
orn[e],faecis,92.64820950440321,4.231683648061935,3
gly[e],succinatiphilus,92.36551810914358,,1
h[e],muciniphila,92.31550033396682,,1
uri[e],oleiciplenus,92.2513775239,,1
phe_L[e],dentium,91.88443341814262,,1
gly[e],fragilis,91.11048200313041,88.13186176542254,3
dcyt[e],clara,90.96327507234923,,1
h2o[e],dentium,90.70373767920339,21.94096100433776,2
dad_2[e],asburiae,90.4597055520687,,1
ac[e],stercorea,90.25033986644412,,1
but[e],virosa,90.0336898801498,,1
lac_L[e],ovatus,89.99059802921863,,1
orn[e],salyersiae,89.1537351989121,7.101160639323254,3
adn[e],merdae,88.88888888888887,19.24500897298753,3
nh4[e],melaninogenica,88.86053963842232,,1
met_L[e],fragilis,88.67163970671528,,1
gly[e],bifidum,88.46234177453276,,1
h[e],capillosus,88.10882928848321,,1
acald[e],atypica,88.10232167361734,3.847817147020906,2
gly[e],goldsteinii,87.70543735817401,,1
gly[e],dentium,87.46806864237314,5.5076510018487195,2
lys_L[e],virosa,87.37436320248939,,1
ile_L[e],jalaludinii,87.20066963865662,,1
h[e],merdae,87.17948717949197,29.009508971764795,2
ser_L[e],plautii,86.74512923576727,,1
gln_L[e],muciniphila,86.45701281880606,,1
gly[e],kashiwanohense,85.88821346881974,1.6663613151573653,2
succ[e],stercorea,85.74449461800691,,1
met_L[e],ovatus,85.17089660190186,,1
adn[e],ovatus,85.1450653065713,59.922061839949556,2
indole[e],nordii,84.9113981254232,18.629270598694482,2
glyc[e],formicigenerans,84.6310972234032,,1
gly[e],conceptionensis,84.60958365651963,,1
gly[e],splanchnicus,84.42589876075436,13.490704780136479,3
gly[e],melaninogenica,84.4244295839076,,1
phe_L[e],distasonis,84.24440198985306,21.475757314137578,3
orn[e],asburiae,83.60838081760356,,1
orn[e],fergusonii,83.41446213676356,,1
etoh[e],bartlettii,83.33333333333334,,1
thr_L[e],cellulosilyticus,83.11837180186853,87.17712034468087,2
pi[e],clara,82.77982994422567,,1
lac_L[e],adolescentis,81.62018343888622,,1
gln_L[e],clarus,81.57669083170016,26.054493689602225,2
h2o[e],excrementihominis,81.08361568720292,84.5337709973513,2
h2o[e],fragilis,80.4987839885363,,1
thr_L[e],fragilis,80.15593185777665,27.681512751597943,2
mnl[e],xylanisolvens,80.10620880745297,76.85019585332238,2
ser_L[e],thermophilus,80.0000000000004,,1
3mop[e],asburiae,79.50848271606401,,1
asp_L[e],pullicaecorum,78.75300898625753,,1
