species,metabolite,rho_s1,qval_s1,rho_s2,qval_s2,same_direction,max_rho
Faecalibacterium prausnitzii_C,C05332_Phenethylamine,-0.534641346764601,0.02515243477963758,0.0,,True,0.534641346764601
CAG-83 sp001916855,C03626_ADMA,0.0,,-0.5345149609300552,0.04886679508624036,True,0.5345149609300552
Acetatifactor sp003447295,C00055_CMP,0.0,,0.5344870305340936,0.04886679508624036,True,0.5344870305340936
UMGS687 sp900545735,C07044_Hydroxyurea,0.0,,-0.5336865578739013,0.04985487899646965,True,0.5336865578739013
Butyrivibrio_A sp900771195,C01005_O-Phosphoserine,0.5266580805670977,0.03470069745403089,0.0,,True,0.5266580805670977
Lachnospira eligens,C05332_Phenethylamine,-0.5230409485142243,0.03841882671788894,0.0,,True,0.5230409485142243
Lachnospira sp003537285,C05332_Phenethylamine,-0.5209766256759684,0.0395386192118821,0.0,,True,0.5209766256759684
Ruminococcus_D bicirculans,C02678_Dodecanedioate,0.5177932042382171,0.04036368592898419,0.0,,True,0.5177932042382171
Faecalibacterium sp900539885,C00398_Tryptamine,-0.5176517871223171,0.04036368592898419,0.0,,True,0.5176517871223171
Catenibacterium sp900764565,C00020_AMP,0.5134088417975886,0.04036368592898419,0.0,,True,0.5134088417975886
Ruminococcus_E bromii_B,C08277_Sebacate,0.51286079649251,0.04036368592898419,0.0,,True,0.51286079649251
Fusobacterium_B sp900542625,C05135_4-(beta-Acetylaminoethyl)imidazole,0.5118743149433687,0.04036368592898419,0.0,,True,0.5118743149433687
Lachnospira eligens_A,C05332_Phenethylamine,-0.510728084859494,0.04036368592898419,0.0,,True,0.510728084859494
Allisonella histaminiformans,C01672_Cadaverine,0.5101205699671173,0.04036368592898419,0.0,,True,0.5101205699671173
Eubacterium_R sp000434995,C02735_Phenylethanolamine,-0.5098010560049809,0.04036368592898419,0.0,,True,0.5098010560049809
Ruminococcus_E bromii_B,C02678_Dodecanedioate,0.5094994519546949,0.04036368592898419,0.0,,True,0.5094994519546949
Veillonella parvula,C06104_Adipate,-0.5094994519546949,0.04036368592898419,0.0,,True,0.5094994519546949
Lachnospira eligens,C00398_Tryptamine,-0.5071109528066206,0.040745369970491094,0.0,,True,0.5071109528066206
CAG-127 sp900319515,C02678_Dodecanedioate,0.5062477164778955,0.040745369970491094,0.0,,True,0.5062477164778955
CAG-83 sp000431575,C00398_Tryptamine,-0.5061975356215516,0.040745369970491094,0.0,,True,0.5061975356215516
Faecalibacterium sp900539885,C00483_Tyramine,-0.506065034709536,0.040745369970491094,0.0,,True,0.506065034709536
Faecalibacterium prausnitzii_D,C00398_Tryptamine,-0.5041514811269969,0.04253097216681547,0.0,,True,0.5041514811269969
Erysipelatoclostridium ramosum,C00803_Valerate,-0.5030690537084399,0.04253097216681547,0.0,,True,0.5030690537084399
Raoultibacter timonensis,C00042_Succinate,0.5029959810010961,0.04253097216681547,0.0,,True,0.5029959810010961
Faecalibacterium prausnitzii,C10172_Proline betaine,0.5015710632078918,0.042671669928219594,0.0,,True,0.5015710632078918
Faecalibacterium sp900539945,C00398_Tryptamine,-0.5009727893229567,0.042671669928219594,0.0,,True,0.5009727893229567
Pauljensenia mediterranea,C00364_dTMP,0.5009499451954695,0.042671669928219594,0.0,,True,0.5009499451954695
