species,metabolite,rho,pval,qval,pathway,metabolite_name
CAG-170 sp000432135,C08277_Sebacate,0.39577104938422153,1.8470807014556133e-14,7.393865947697983e-12,Other,C08277
Acetatifactor intestinalis,C08277_Sebacate,0.39526024828165196,2.0086829178252354e-14,7.629146768586505e-12,Other,C08277
ER4 sp900552015,C00695_Cholate,-0.39500223734978307,2.0954939017562147e-14,7.629146768586505e-12,Bile Acid,C00695
Faecivivens stercoravium,C02714_N-Acetylputrescine,0.3950458929553064,2.080551469376977e-14,7.629146768586505e-12,Other,C02714
Ruminococcus_C sp000980705,C05332_Phenethylamine,-0.39495402502152926,2.1121181502604233e-14,7.629146768586505e-12,Other,C05332
Erysipelatoclostridium ramosum,C00398_Tryptamine,0.39474606113079574,2.1853193013724822e-14,7.732462458611448e-12,Indole / Tryptophan,C00398
Acetatifactor sp003447295,C08277_Sebacate,0.39442734235111965,2.302351639633213e-14,7.983634545592128e-12,Other,C08277
CAG-103 sp900543625,C00695_Cholate,-0.3938671916061759,2.5230853271381162e-14,8.577500667043267e-12,Bile Acid,C00695
Acetatifactor sp003447295,C05629_3-Phenylpropionate,0.3932797053705356,2.7768450541513644e-14,9.25864222093776e-12,Other,C05629
Ruminococcus_D bicirculans,C05332_Phenethylamine,-0.3910015983208295,4.0193921625120276e-14,1.2905226169191394e-11,Other,C05332
Lachnospira eligens_A,C02678_Dodecanedioate,0.3911005986566199,3.955546593956708e-14,1.2905226169191394e-11,Other,C02678
CAG-127 sp900319515,C02678_Dodecanedioate,0.39081109289579985,4.145100786657207e-14,1.3066864988920484e-11,Other,C02678
Alangreenwoodia gallinarii,C02678_Dodecanedioate,-0.39037295694527313,4.4489989050089086e-14,1.353276193246394e-11,Other,C02678
Lachnospira eligens,C02678_Dodecanedioate,0.3904104376018078,4.422170712334759e-14,1.353276193246394e-11,Other,C02678
Acetatifactor intestinalis,C02714_N-Acetylputrescine,-0.38938818392106606,5.213862408896111e-14,1.5585852835420822e-11,Other,C02714
Ruminococcus_D bicirculans,C02678_Dodecanedioate,0.3890233661019265,5.528721956442806e-14,1.624694597979752e-11,Other,C02678
Ruminococcus_E bromii_B,C08277_Sebacate,0.3880523090797194,6.460309523932443e-14,1.8668141087656783e-11,Other,C08277
UBA1685 sp900546845,C00134_Putrescine,0.38761783423392165,6.925319615307794e-14,1.9683801883640414e-11,Polyamine,C00134
Faecivivens stercoravium,C00431_5-Aminovalerate,0.3865201255213542,8.251029569768269e-14,2.3073604948490686e-11,Other,C00431
CAG-170 sp000432135,C02714_N-Acetylputrescine,-0.386153935409234,8.74623245999304e-14,2.4070187046247512e-11,Other,C02714
CAG-103 sp900543625,C08277_Sebacate,0.3857638282333464,9.305773119949877e-14,2.520992099276421e-11,Other,C08277
Avispirillum faecium,C00431_5-Aminovalerate,0.3834808911947218,1.3354929294223316e-13,3.5622732938960594e-11,Other,C00431
UBA5905 sp900763035,C02656_Pimelate,-0.38268811748919423,1.5129961955198705e-13,3.9745951572611385e-11,Other,C02656
Acetatifactor sp003447295,C02714_N-Acetylputrescine,-0.38227634113179454,1.614099098637274e-13,4.1154779664960375e-11,Other,C02714
Acetatifactor intestinalis,C00695_Cholate,-0.38234354778766605,1.5971580512997239e-13,4.1154779664960375e-11,Bile Acid,C00695
ER4 sp000765235,C00134_Putrescine,-0.3818193933134547,1.7340357184658583e-13,4.2949587552515786e-11,Polyamine,C00134
Faecousia sp003525905,"C03283_2,4-Diaminobutyrate",0.3818668467288937,1.7211856448028665e-13,4.2949587552515786e-11,Other,C03283
Faecalibacterium prausnitzii_D,C05332_Phenethylamine,-0.38147659893108227,1.8296908852708426e-13,4.4680536012430806e-11,Other,C05332
Faecousia sp003525905,C02656_Pimelate,0.38132459607415226,1.8737405898865575e-13,4.512071437146268e-11,Other,C02656
Acetatifactor sp003447295,C00803_Valerate,0.38048436188492113,2.1366037401583328e-13,5.074580225597969e-11,Other,C00803
Gemmiger qucibialis,C00483_Tyramine,-0.379392308052438,2.532685819085023e-13,5.934014423148125e-11,Other,C00483
Alistipes shahii,C01042_N-Acetylaspartate,0.37895765348822646,2.7095735857344596e-13,6.101115172657671e-11,Other,C01042
Faecousia sp003525905,C05629_3-Phenylpropionate,0.37896410811460635,2.706860484913156e-13,6.101115172657671e-11,Other,C05629
CAG-103 sp900543625,C02678_Dodecanedioate,0.3789877408096906,2.696949504522737e-13,6.101115172657671e-11,Other,C02678
CAG-170 sp000432135,C17714_Heptanoate,0.37792547093444906,3.179450827291674e-13,7.067348518408083e-11,Other,C17714
Clostridium_A leptum,C00431_5-Aminovalerate,-0.3773719785007631,3.4633241609845673e-13,7.600900544702586e-11,Other,C00431
CAG-170 sp000432135,C00695_Cholate,-0.377090801936241,3.61687875785837e-13,7.838680487968552e-11,Bile Acid,C00695
UBA3855 sp017460955,C08277_Sebacate,-0.376714736111525,3.8326980370326643e-13,8.203866489638559e-11,Other,C08277
Acetatifactor intestinalis,C00134_Putrescine,-0.3766048461168626,3.8981053736172794e-13,8.242115971680048e-11,Polyamine,C00134
Faecalibacterium sp900539945,C00398_Tryptamine,-0.37635938606702213,4.048171258095636e-13,8.456288346127968e-11,Indole / Tryptophan,C00398
Alistipes putredinis,C08277_Sebacate,0.3760405131212062,4.2515773302477177e-13,8.775458065694634e-11,Other,C08277
Alistipes shahii,C00431_5-Aminovalerate,-0.37509585564699616,4.914601338755292e-13,1.0024630354275207e-10,Other,C00431
ER4 sp900552015,"C03283_2,4-Diaminobutyrate",0.37274035835036445,7.039412814113056e-13,1.4191783647801413e-10,Other,C03283
Agathobacter rectalis,C05332_Phenethylamine,-0.3726055744421447,7.185010978052299e-13,1.431881842959434e-10,Other,C05332
Acetatifactor intestinalis,C00803_Valerate,0.372368726211106,7.448024454707491e-13,1.4674300908604374e-10,Other,C00803
CAG-170 sp000432135,C01046_N-Methylglutamate,0.37216751704235346,7.678834715981298e-13,1.4959060259065589e-10,Other,C01046
CAG-170 sp000432135,C00134_Putrescine,-0.371949779970004,7.936480074433427e-13,1.5289187947836308e-10,Polyamine,C00134
ER4 sp000765235,C00055_CMP,0.3714719564543022,8.531847999388582e-13,1.6255514353120794e-10,Nucleotide,C00055
Alistipes onderdonkii,C08277_Sebacate,0.37123421508862225,8.84411674366461e-13,1.666731479365837e-10,Other,C08277
ER4 sp000765235,C02656_Pimelate,0.3689038422298947,1.256036917472551e-12,2.31672000799352e-10,Other,C02656
Alistipes shahii,C00134_Putrescine,-0.3689254804557875,1.2519686209906479e-12,2.31672000799352e-10,Polyamine,C00134
Alistipes shahii,C06103_6-Hydroxyhexanoate,0.3684151043646915,1.3514444647137582e-12,2.466457276758646e-10,Other,C06103
Gemmiger formicilis,C05332_Phenethylamine,-0.3682191749372625,1.3916489101308647e-12,2.513375917067597e-10,Other,C05332
Acetatifactor intestinalis,C00364_dTMP,0.3677965898462669,1.482381040258597e-12,2.6496414923715006e-10,Other,C00364
Ruminococcus_E bromii_B,C02678_Dodecanedioate,0.3674609310827547,1.5585437926885965e-12,2.757350232411723e-10,Other,C02678
Acetatifactor intestinalis,C00055_CMP,0.36710091760947494,1.6444810082434072e-12,2.880001183931737e-10,Nucleotide,C00055
CAG-170 sp000432135,"C03283_2,4-Diaminobutyrate",0.3670070975755088,1.6676260422747098e-12,2.891330032095892e-10,Other,C03283
Gemmiger sp900540595,C05332_Phenethylamine,-0.3669217082642682,1.6889676186776533e-12,2.899338670557738e-10,Other,C05332
ER4 sp000765235,C02714_N-Acetylputrescine,-0.3666298274627075,1.7639518242060248e-12,2.998372228243535e-10,Other,C02714
Acetatifactor sp003447295,C00134_Putrescine,-0.36597757825123683,1.943458126742149e-12,3.2159587311160295e-10,Polyamine,C00134
Acetatifactor intestinalis,C00431_5-Aminovalerate,-0.3659632178546831,1.9476044916782965e-12,3.2159587311160295e-10,Other,C00431
Ruminococcus_C callidus,C05332_Phenethylamine,-0.3660220260610242,1.930679001664164e-12,3.2159587311160295e-10,Other,C05332
Alistipes shahii,C17714_Heptanoate,0.36583807913872496,1.9841041226938907e-12,3.245320498044026e-10,Other,C17714
Agathobacter sp900317585,C05332_Phenethylamine,-0.3656671793372866,2.035032037165774e-12,3.297512659848616e-10,Other,C05332
Alistipes shahii,C00803_Valerate,0.3652471173294866,2.1656964630985814e-12,3.4448481905691013e-10,Other,C00803
Faecousia sp000434635,C02656_Pimelate,0.3652969367657968,2.149781484370242e-12,3.4448481905691013e-10,Other,C02656
Alistipes shahii,C02714_N-Acetylputrescine,-0.36517799137112494,2.187969689765956e-12,3.4486380437420135e-10,Other,C02714
Acetatifactor sp003447295,C00695_Cholate,-0.3646610170951905,2.361787557195313e-12,3.6890696096083183e-10,Bile Acid,C00695
ER4 sp900552015,C02714_N-Acetylputrescine,-0.3641434684033939,2.5492801819982112e-12,3.946376767454017e-10,Other,C02714
Acetatifactor sp003447295,C00364_dTMP,0.3638901252814201,2.6462814524435795e-12,4.0417204700576355e-10,Other,C00364
Faecousia sp003525905,C00134_Putrescine,-0.36386143021507855,2.657492984119105e-12,4.0417204700576355e-10,Polyamine,C00134
Clostridium_A leptum,C06104_Adipate,0.3635510888260112,2.781749702159864e-12,4.1939109857432803e-10,Other,C06104
Eubacterium_G ventriosum,C02678_Dodecanedioate,0.3623460421001713,3.3202925784565156e-12,4.962692476317161e-10,Other,C02678
Agathobacter sp900546625,C05332_Phenethylamine,-0.3620664400612867,3.4591024601569785e-12,5.125975936256554e-10,Other,C05332
ER4 sp900552015,C00134_Putrescine,-0.3618647606782473,3.5627278081231714e-12,5.234794469257588e-10,Polyamine,C00134
Veillonella atypica,C06104_Adipate,-0.36178691068925145,3.603533493945045e-12,5.250257455295731e-10,Other,C06104
CAG-41 sp900066215,C05332_Phenethylamine,-0.3616524282828426,3.675100832721066e-12,5.309908186476487e-10,Other,C05332
Clostridium_A leptum,C02714_N-Acetylputrescine,-0.3611642605343561,3.946736626817192e-12,5.655249556674089e-10,Other,C02714
Alistipes putredinis,C00803_Valerate,0.3597558445027354,4.84497645791968e-12,6.885426379296016e-10,Other,C00803
ER4 sp000765235,C00803_Valerate,0.3596153998042715,4.94479101668157e-12,6.970145255871956e-10,Other,C00803
Scatavimonas merdipullorum,C00431_5-Aminovalerate,0.35955015196171636,4.991842940307774e-12,6.979723620891628e-10,Other,C00431
Lachnospira sp003451515,C05332_Phenethylamine,-0.35900148918118513,5.405170725467845e-12,7.497188003052919e-10,Other,C05332
Gemmiger qucibialis,C02678_Dodecanedioate,0.3585936683252568,5.733851101762104e-12,7.889961143043759e-10,Other,C02678
Clostridium_A leptum,C00134_Putrescine,-0.35785792283182427,6.3768390359105575e-12,8.705640567292697e-10,Polyamine,C00134
Faecousia sp000434635,C02678_Dodecanedioate,0.3575859987202597,6.631859447227751e-12,8.983060866877714e-10,Other,C02678
Alistipes putredinis,C00431_5-Aminovalerate,-0.35735100083347743,6.860243474127035e-12,9.220379949954615e-10,Other,C00431
ER4 sp000765235,C00364_dTMP,0.3570669161745521,7.146592799655122e-12,9.53135584310927e-10,Other,C00364
Avimicrobium caecorum,C02714_N-Acetylputrescine,-0.35691358315445065,7.305959922978434e-12,9.669521614091609e-10,Other,C02714
Acutalibacter sp910580045,C05332_Phenethylamine,0.35643355348151895,7.827625243102832e-12,1.02814671564331e-09,Other,C05332
Faecousia sp000434635,"C03283_2,4-Diaminobutyrate",0.35615204342333623,8.150273220010927e-12,1.0624769705905974e-09,Other,C03283
Agathobacter rectalis,C00398_Tryptamine,-0.3555854316522783,8.83950188885662e-12,1.1437259981268364e-09,Indole / Tryptophan,C00398
Erysipelatoclostridium ramosum,C02678_Dodecanedioate,-0.35504176580138636,9.55410134117785e-12,1.227029696691419e-09,Other,C02678
ER4 sp000765235,C00431_5-Aminovalerate,-0.35498440748142196,9.632701022208365e-12,1.228027722963593e-09,Other,C00431
UBA737 sp902762875,C00431_5-Aminovalerate,0.354634588221373,1.0125901398962863e-11,1.2814808646366287e-09,Other,C00431
Gemmiger formicilis,C00483_Tyramine,-0.3544365165459247,1.0415989314321913e-11,1.3086407444327051e-09,Other,C00483
Ruminococcus_E bromii_B,C02656_Pimelate,0.35430949595403355,1.060626761885311e-11,1.3229602012638507e-09,Other,C02656
Agathobacter sp900317585,C00398_Tryptamine,-0.35314214658987414,1.2521390577311112e-11,1.5506847844958576e-09,Indole / Tryptophan,C00398
Ruminococcus_E bromii,C08277_Sebacate,0.353043693170267,1.2697524364244129e-11,1.5613452299806006e-09,Other,C08277
Ruminiclostridium_E sp910579265,C02678_Dodecanedioate,-0.3529517524864187,1.286418710539004e-11,1.570699126994736e-09,Other,C02678
Faecousia sp000434635,C05629_3-Phenylpropionate,0.3523883178993946,1.3933119368027595e-11,1.677586275019878e-09,Other,C05629
UBA1206 sp000433115,C00695_Cholate,0.3524193534489939,1.3872050040762177e-11,1.677586275019878e-09,Bile Acid,C00695
Alistipes shahii,C05629_3-Phenylpropionate,0.35165981472068375,1.544431122919008e-11,1.834798782723586e-09,Other,C05629
CAG-127 sp900319515,C05332_Phenethylamine,-0.3516569805454772,1.5450491537527024e-11,1.834798782723586e-09,Other,C05332
CAG-103 sp900543625,"C03283_2,4-Diaminobutyrate",0.35112617776362287,1.6651516747034807e-11,1.9639727711570713e-09,Other,C03283
Acetatifactor sp003447295,C00431_5-Aminovalerate,-0.35075153699324313,1.75535033594652e-11,2.0563691976108627e-09,Other,C00431
Veillonella atypica,C08277_Sebacate,-0.35018467176147944,1.9009520693791197e-11,2.211993756972831e-09,Other,C08277
Ruminococcus_E bromii,C02656_Pimelate,0.35011352626197334,1.9200376233281702e-11,2.219307487550921e-09,Other,C02656
Faecousia sp000434635,C02714_N-Acetylputrescine,-0.34988675391277724,1.982126755846464e-11,2.2759015690639733e-09,Other,C02714
UBA1685 sp900546845,C02714_N-Acetylputrescine,0.3495263079592785,2.0848637837039358e-11,2.3642904752067857e-09,Other,C02714
Acetatifactor sp003447295,C00055_CMP,0.3495211215221479,2.086379298111883e-11,2.3642904752067857e-09,Nucleotide,C00055
Lachnospira sp003537285,C05332_Phenethylamine,-0.34930387718037653,2.1508333137126376e-11,2.4215031164382933e-09,Other,C05332
Gemmiger qucibialis,C00398_Tryptamine,-0.34911246385000555,2.2092288852982858e-11,2.471200671825915e-09,Indole / Tryptophan,C00398
ER4 sp900552015,C02656_Pimelate,0.34892017576602824,2.2694463054311887e-11,2.5222859002285863e-09,Other,C02656
UBA737 sp902762875,C02714_N-Acetylputrescine,0.3487752592195182,2.3158829722926093e-11,2.5575018454528187e-09,Other,C02714
Lachnospira eligens_A,C05332_Phenethylamine,-0.3486839365464732,2.345620484796891e-11,2.5739473395828163e-09,Other,C05332
Avimicrobium caecorum,C00334_GABA,-0.34840361215670757,2.4392463116640566e-11,2.659852361737825e-09,Other,C00334
CAG-103 sp900757655,C00695_Cholate,-0.3476175240493561,2.7216449791233672e-11,2.9492425405025587e-09,Bile Acid,C00695
Gemmiger sp900540595,C00398_Tryptamine,-0.34641026007551046,3.218401677894671e-11,3.4658787758594916e-09,Indole / Tryptophan,C00398
Alangreenwoodia gallinarii,C00803_Valerate,-0.34622906702644607,3.3002050233242376e-11,3.532034240394792e-09,Other,C00803
Eubacterium_F sp003491505,C02678_Dodecanedioate,0.34592707326914,3.441069653040679e-11,3.660200346283392e-09,Other,C02678
ER4 sp000765235,C01042_N-Acetylaspartate,0.3455909848876931,3.60472825581136e-11,3.8109011280034974e-09,Other,C01042
Scatavimonas merdipullorum,C08277_Sebacate,-0.3455024479916507,3.649088225904182e-11,3.834417676407679e-09,Other,C08277
Agathobacter sp900546625,C00398_Tryptamine,-0.3452118814552117,3.798440885105773e-11,3.967311329274933e-09,Indole / Tryptophan,C00398
Alistipes onderdonkii,"C03283_2,4-Diaminobutyrate",0.34513845004925603,3.837117768652152e-11,3.983709453466528e-09,Other,C03283
ER4 sp900552015,C00055_CMP,0.3444734174878593,4.205322769758643e-11,4.339993225123532e-09,Nucleotide,C00055
Acetatifactor intestinalis,C02656_Pimelate,0.34436605732103337,4.267904891412139e-11,4.378516864337495e-09,Other,C02656
Faecalibacterium prausnitzii_D,C00398_Tryptamine,-0.34421885711017086,4.35518717848196e-11,4.441778547089425e-09,Indole / Tryptophan,C00398
Avispirillum faecium,3-Indoxyl sulfate,-0.34408172416916816,4.4380630652324714e-11,4.499832597953251e-09,Other,3-Indoxyl sulfate
ER4 sp000765235,C06104_Adipate,0.34398170769205383,4.499474490351034e-11,4.535574925215478e-09,Other,C06104
Alectryocaccomicrobium excrementavium,C00408_Pipecolate,-0.34377708282991015,4.627706853602336e-11,4.637871758829902e-09,Other,C00408
Acetatifactor sp003447295,C00398_Tryptamine,-0.3436379773595288,4.7169053927800936e-11,4.700098028736854e-09,Indole / Tryptophan,C00398
Lachnospira eligens,C00055_CMP,0.3423357184194547,5.6373997975616566e-11,5.5852135822928e-09,Nucleotide,C00055
Ventricola intestinavium,C02714_N-Acetylputrescine,0.34219015577583767,5.7505646434411655e-11,5.664959647044485e-09,Other,C02714
UMGS687 sp900545735,C01118_o-Succinylhomoserine,-0.34203170734006383,5.876262116952257e-11,5.7560809369332336e-09,Other,C01118
Scatavimonas merdipullorum,C02714_N-Acetylputrescine,0.3416191864088612,6.216198919614125e-11,6.054857127430882e-09,Other,C02714
Faecousia sp000434635,C00134_Putrescine,-0.34152268454402007,6.298443116958264e-11,6.1006931151856084e-09,Polyamine,C00134
Acetatifactor sp003447295,C02656_Pimelate,0.34148061911224575,6.334624314257753e-11,6.101650908922274e-09,Other,C02656
UBA3855 sp017460955,C00134_Putrescine,0.34103012294222695,6.735017729867726e-11,6.4514772044445656e-09,Polyamine,C00134
Avimicrobium caecorum,C00431_5-Aminovalerate,-0.3406751339394187,7.067785481457655e-11,6.733036520742463e-09,Other,C00431
Alistipes onderdonkii,C02678_Dodecanedioate,0.3398728702084198,7.879882145360653e-11,7.465650089413279e-09,Other,C02678
Avimicrobium caecorum,C00134_Putrescine,-0.339561341582711,8.219126393866714e-11,7.744739859612016e-09,Polyamine,C00134
Alangreenwoodia gallinarii,C06103_6-Hydroxyhexanoate,-0.3394451751708977,8.349232723937156e-11,7.824810646898508e-09,Other,C06103
UBA737 sp902762875,C00134_Putrescine,0.33916154814265503,8.675375748768961e-11,8.086756168395498e-09,Polyamine,C00134
Faecalibacterium sp900539945,C05629_3-Phenylpropionate,0.33892946220944004,8.951448028758911e-11,8.29947625254663e-09,Other,C05629
Lachnospira eligens,C05332_Phenethylamine,-0.33880351601498154,9.104824816360541e-11,8.3967793971308e-09,Other,C05332
Avispirillum faecium,C06103_6-Hydroxyhexanoate,-0.33831787351885617,9.720549305011569e-11,8.917189621708497e-09,Other,C06103
Faecalibacterium prausnitzii,C00483_Tyramine,-0.3380524482042027,1.0074007708426868e-10,9.192797139405528e-09,Other,C00483
Alangreenwoodia gallinarii,C00431_5-Aminovalerate,0.33787342057178504,1.0319444722919393e-10,9.367462440103479e-09,Other,C00431
Scatavimonas merdipullorum,C00134_Putrescine,0.3376149334338178,1.0684112616835349e-10,9.647976278681839e-09,Polyamine,C00134
Faecalibacterium prausnitzii,C00695_Cholate,-0.33697704461890093,1.1638525935748583e-10,1.0455376304352794e-08,Bile Acid,C00695
Gemmiger formicilis,C00398_Tryptamine,-0.33653343745754677,1.2350646526271087e-10,1.1037912859406602e-08,Indole / Tryptophan,C00398
Acetatifactor intestinalis,C00398_Tryptamine,-0.3362749495586207,1.2784962540310092e-10,1.136747079609725e-08,Indole / Tryptophan,C00398
Avispirillum faecium,C08277_Sebacate,-0.336220285813751,1.2878695208722524e-10,1.139238864943016e-08,Other,C08277
Faecousia sp000434635,C00695_Cholate,-0.336027535198768,1.3214573611242607e-10,1.1630166358970777e-08,Bile Acid,C00695
Scatavimonas merdipullorum,C02678_Dodecanedioate,-0.33589704853477714,1.3446775985387873e-10,1.1774757678517926e-08,Other,C02678
Faecousia sp003525905,C00695_Cholate,-0.33552578294318053,1.4129377293716479e-10,1.2310308719520417e-08,Bile Acid,C00695
Alistipes shahii,C16741_5-Hydroxylysine,-0.3352715591183152,1.4616112898052774e-10,1.2670708271321949e-08,Other,C16741
UMGS693 sp900544555,C08277_Sebacate,-0.33501285942342074,1.5128152966299924e-10,1.3049349061179508e-08,Other,C08277
Faecalibacterium sp900539945,C00695_Cholate,-0.3347032194285826,1.57639917214624e-10,1.3530499429045302e-08,Bile Acid,C00695
Ruminococcus_E bromii_B,C05332_Phenethylamine,-0.33410305346484875,1.7071287452430444e-10,1.4580393194593055e-08,Other,C05332
Aphodomorpha sp900549955,C02714_N-Acetylputrescine,0.33394096957951036,1.744205761595223e-10,1.4751726582701452e-08,Other,C02714
Veillonella parvula_A,C02714_N-Acetylputrescine,0.3339668182933071,1.738240755809169e-10,1.4751726582701452e-08,Other,C02714
Alistipes putredinis,C01042_N-Acetylaspartate,0.333474256691514,1.8553963987828206e-10,1.5615952797134243e-08,Other,C01042
UBA1685 sp900546845,C00431_5-Aminovalerate,0.33342255926392056,1.868129008529616e-10,1.5647159782553857e-08,Other,C00431
Ruminococcus_D bicirculans,C00134_Putrescine,-0.3332577019114837,1.9093021322317193e-10,1.5915134792612282e-08,Polyamine,C00134
UMGS687 sp900545735,C05341_beta-Ala-Lys,0.33316538826683045,1.9327415786869798e-10,1.6033432292476007e-08,Other,C05341
Faecalibacterium prausnitzii_C,C00695_Cholate,-0.3330641237659393,1.9587756732354073e-10,1.6172025058359758e-08,Bile Acid,C00695
CAG-488 sp000434055,C00431_5-Aminovalerate,0.3328467073621158,2.0158287760694472e-10,1.656418925094411e-08,Other,C00431
ER4 sp900552015,C00431_5-Aminovalerate,-0.33274675900210177,2.042595844540642e-10,1.6704965449361155e-08,Other,C00431
CAG-127 sp900319515,C00398_Tryptamine,-0.33222487499561465,2.188074061050029e-10,1.7727489752563274e-08,Indole / Tryptophan,C00398
Alistipes putredinis,"C03283_2,4-Diaminobutyrate",0.3322350231966391,2.1851514214461817e-10,1.7727489752563274e-08,Other,C03283
Alangreenwoodia gallinarii,C05629_3-Phenylpropionate,-0.331817473262928,2.3085960954424218e-10,1.8616948419898006e-08,Other,C05629
