species_a,species_b,rho,pval,qval
Escherichia sp004211955,Escherichia coli_E,0.8330463168742127,1.0156063111637572e-90,2.0501884244571528e-88
Prevotella copri_A,Prevotella sp900546535,0.8321183480489104,2.423914372118312e-90,4.7676531150050184e-88
Prevotella copri_A,Prevotella hominis,0.8307871392883792,8.364724676962252e-90,1.604145074924436e-87
Prevotella sp900767615,Prevotella sp900770515,0.8071464800657592,5.7306807896805555e-81,1.0721963984790131e-78
Prevotella copri,Prevotella sp900551275,0.806588435055681,8.950171342847753e-81,1.6346848659758361e-78
Escherichia sp004211955,Escherichia marmotae,0.8064795832498037,9.761714424159273e-81,1.7414444499471114e-78
Escherichia sp001660175,Escherichia albertii,0.805184849896519,2.729318464467702e-80,4.758318622939033e-78
Ruminococcus_E sp905215855,Ruminococcus_E sp902771755,0.8048269888144,3.621440090875275e-80,6.173348208245385e-78
Prevotella sp015074785,Prevotella sp900551275,0.8042683693884597,5.624772898027324e-80,9.379920195819043e-78
Escherichia sp005843885,Escherichia marmotae,0.8003726810113625,1.1659667809724003e-78,1.9030066333700604e-76
Escherichia sp005843885,Escherichia albertii,0.7992649200212074,2.7273584990808114e-78,4.358659801343522e-76
Prevotella hominis,Prevotella sp900557255,0.7963287933418308,2.5282640861018097e-77,3.9580232254055067e-75
Ruminococcus_E sp902771755,Ruminococcus_E sp902766775,0.7962802552014793,2.6222607802816613e-77,4.0230724891081247e-75
Escherichia sp001660175,Escherichia marmotae,0.7937657497649203,1.7144162562909175e-76,2.578683745491692e-74
Escherichia sp005843885,Escherichia coli_E,0.790157556526829,2.4243437574236483e-75,3.5763732621532324e-73
Phascolarctobacterium_A sp900753045,Phascolarctobacterium_A sp900770955,0.7895268479101889,3.831512396878461e-75,5.5455719993310703e-73
Phascolarctobacterium_A succinatutens_A,Phascolarctobacterium_A sp900753045,0.7889527192559707,5.803920915431225e-75,8.244792100420912e-73
Escherichia fergusonii,Escherichia marmotae,0.7884969202693551,8.063090274686725e-75,1.1245811908567612e-72
Escherichia ruysiae,Escherichia albertii,0.7883590604624392,8.90465053950074e-75,1.2197781122948247e-72
Prevotella hominis,Prevotella sp900290275,0.788181278753104,1.0119758956544968e-74,1.3619065079939728e-72
Prevotella sp900557255,Prevotella sp900770515,0.7850369263236983,9.527064608078783e-74,1.2600364242857301e-71
Prevotella copri,Prevotella sp900557255,0.7847350707881388,1.1791783858320856e-73,1.5331317623250728e-71
Prevotella sp900557255,Prevotella sp900767615,0.7840773646259778,1.8744384851515712e-73,2.3964696032662837e-71
Prevotella copri,Prevotella sp015074785,0.7836741246907488,2.488481021577706e-73,3.129366871561079e-71
Prevotella sp000434975,Prevotella sp900290275,0.7824405666267831,5.898800887982169e-73,7.298338969630841e-71
Escherichia sp004211955,Escherichia albertii,0.7801299788212872,2.9262164731691696e-72,3.563016915187413e-70
Escherichia ruysiae,Escherichia coli_E,0.7799688551719542,3.269590672479187e-72,3.918910945091851e-70
Escherichia fergusonii,Escherichia coli_E,0.7780752932823788,1.1960739448614801e-71,1.4115512663126792e-69
Prevotella sp900551275,Prevotella sp900557255,0.7761030364196889,4.555606523164712e-71,5.294857218060076e-69
Prevotella sp000434975,Prevotella sp002265625,0.7760048113072614,4.867615626379833e-71,5.573056637307417e-69
Prevotella hominis,Prevotella sp900770515,0.7754668708523584,6.992292403305806e-71,7.88792279790571e-69
Prevotella copri,Prevotella sp900546535,0.7741365237156205,1.7051617748485355e-70,1.8956950688207415e-68
Prevotella sp015074785,Prevotella copri_A,0.7738800470331708,2.0234790416000598e-70,2.217443961159151e-68
Escherichia albertii,Escherichia marmotae,0.7732142990489397,3.152043280945205e-70,3.40553859269446e-68
Escherichia sp004211955,Escherichia sp001660175,0.769604956979124,3.395251738238792e-69,3.6173577894485796e-67
Prevotella copri,Prevotella sp900767615,0.767278572737419,1.5356116095395897e-68,1.6136543365449582e-66
Escherichia sp002965065,Escherichia marmotae,0.765998486988619,3.4967296521058874e-68,3.6247855623384134e-66
Prevotella sp900546535,Prevotella sp900557255,0.7643659971083906,9.911144896656853e-68,1.013711900030063e-65
Lachnospira rogosae_A,Lachnospira sp000436475,0.763279776713066,1.973110478027792e-67,1.9915434838093674e-65
Prevotella sp000434975,Prevotella hominis,0.7631769562737414,2.1055892198834306e-67,2.0976590786656877e-65
Prevotella sp900546535,Prevotella sp900770515,0.7627958313492053,2.678304257827891e-67,2.6340092258715065e-65
Escherichia coli,Escherichia sp002965065,0.7623894321267345,3.459858896658515e-67,3.3595667843376542e-65
Prevotella sp900556795,Prevotella sp900770515,0.7620533988473771,4.2740042074054604e-67,4.098235784375911e-65
Phascolarctobacterium_A succinatutens,Phascolarctobacterium_A sp900753045,0.7617277050535385,5.243756282537785e-67,4.966031412758931e-65
Escherichia ruysiae,Escherichia marmotae,0.7616429787138714,5.5299553833478415e-67,5.1732058226416205e-65
Ruminococcus_E bromii,Ruminococcus_E sp902771755,0.7615987486924859,5.685463650405062e-67,5.254601405091233e-65
Phascolarctobacterium_A succinatutens_A,Phascolarctobacterium_A sp900770955,0.7609398936986006,8.587529366908127e-67,7.842254496851457e-65
Escherichia sp005843885,Escherichia sp001660175,0.7598553965508625,1.6881721740855078e-66,1.5235257349894034e-64
Prevotella copri,Prevotella hominis,0.7591439825055905,2.625031330876542e-66,2.3414668999016225e-64
Prevotella copri,Prevotella copri_A,0.758699671836218,3.455677252321833e-66,3.046954046271354e-64
Prevotella sp900546535,Prevotella sp000434975,0.7579833752561177,5.376230541607579e-66,4.68648460053088e-64
Prevotella sp900551275,Prevotella sp000434975,0.7557221872147666,2.1480170891356144e-65,1.851397650647112e-63
Prevotella sp900551275,Prevotella sp900770515,0.7548306937967107,3.693209760859102e-65,3.1478457861722415e-63
Prevotella sp015074785,Prevotella hominis,0.7547844533198077,3.79825822302783e-65,3.2018064647084043e-63
Prevotella sp002265625,Prevotella sp900290275,0.7521809134246157,1.824109543047514e-64,1.520950467904074e-62
Prevotella sp900546535,Prevotella sp900290275,0.7521162916401238,1.896083639110867e-64,1.5639631823246732e-62
Prevotella copri_A,Prevotella sp900770515,0.7519772830014837,2.0605953469696935e-64,1.6815773304898426e-62
Prevotella sp900544825,Prevotella copri_A,0.7517713549149032,2.3306632554812737e-64,1.8819492455575634e-62
Prevotella sp000434975,Prevotella sp900767615,0.751378454465193,2.94702583997861e-64,2.3548578352579082e-62
Prevotella sp015074785,Prevotella sp900546535,0.7513428406817397,3.0103116278128206e-64,2.3806289172115614e-62
Escherichia fergusonii,Escherichia albertii,0.7500593084377669,6.458498916578159e-64,5.055422978476638e-62
Prevotella copri_A,Prevotella sp900557255,0.7469884812387163,3.9368497480713324e-63,3.050462062369211e-61
Prevotella sp900544825,Prevotella sp900546535,0.7463735690582854,5.636135282542077e-63,4.323479375238027e-61
Prevotella sp900767615,Prevotella sp900290275,0.7461713746748089,6.340503309790099e-63,4.815643652415827e-61
Prevotella sp900770515,Prevotella sp900554835,0.7453620227250404,1.0147366677689672e-62,7.631416645544851e-61
Prevotella sp015074785,Prevotella sp900767615,0.7453333019319329,1.0317784638699712e-62,7.684245239171408e-61
Prevotella sp900557255,Prevotella sp900554835,0.7448482077363477,1.3664912048694577e-62,1.0079186569763088e-60
Prevotella copri_A,Prevotella sp900313215,0.7445862741032075,1.5899319268327502e-62,1.1615588391175263e-60
Prevotella sp900544825,Prevotella sp900770515,0.7442861418152346,1.8907889682651427e-62,1.3683247335435764e-60
Prevotella sp900557255,Prevotella sp900556795,0.7430657953160982,3.8158234836378195e-62,2.7356244806528704e-60
Prevotella copri_A,Prevotella sp000434975,0.7422825792880575,5.975735517197257e-62,4.244432143742607e-60
Prevotella sp900551275,Prevotella sp900313215,0.7421487403921767,6.450735682481894e-62,4.539779212873267e-60
Prevotella sp900546535,Prevotella sp900556795,0.7400997990118898,2.0681469560204424e-61,1.4422504817848012e-59
Prevotella sp900555035,Prevotella sp900548535,0.7390437354493282,3.754108144314903e-61,2.5943931148684344e-59
Prevotella sp000434975,Alloprevotella timonensis,0.7390012286755291,3.8450524286826765e-61,2.6335176053950723e-59
Prevotella sp900544825,Prevotella sp900551275,0.7381979080923132,6.039234036906808e-61,4.099731353726737e-59
Prevotella sp900313215,Prevotella hominis,0.7381789523688623,6.1037954471207276e-61,4.107211831128342e-59
Prevotella sp002265625,Prevotella sp900550035,0.737935687251242,6.995683048146597e-61,4.666424753246308e-59
Prevotella copri,Prevotella sp900770515,0.7366331992838183,1.4482393573741065e-60,9.577106991738596e-59
Prevotella sp900313215,Prevotella sp900290275,0.7364890209024189,1.5692982502676233e-60,1.0288963143421315e-58
Prevotella sp900551275,Prevotella sp900290275,0.7364689163472435,1.586957667893897e-60,1.0316569720689902e-58
Phascolarctobacterium_A succinatutens,Phascolarctobacterium_A succinatutens_A,0.7358726726823325,2.2105091031557663e-60,1.424942464731755e-58
Prevotella copri_A,Prevotella sp900290275,0.7356997735078256,2.433073753841771e-60,1.555342397143352e-58
Prevotella copri_A,Prevotella sp900556795,0.7353723564664004,2.917172705653096e-60,1.849391059922719e-58
Escherichia ruysiae,Escherichia sp001660175,0.7349429806094437,3.699406521968955e-60,2.3260776581986764e-58
Prevotella sp900313215,Prevotella sp900550035,0.7347809953363176,4.045772172871362e-60,2.5231803526907495e-58
Prevotella hominis,Alloprevotella timonensis,0.7342183549993423,5.518088144102588e-60,3.413649528500883e-58
Prevotella sp900544825,Prevotella sp900548535,0.7328687649312223,1.1579828328231564e-59,7.106309048469145e-58
Faecalibacterium prausnitzii_C,Faecalibacterium prausnitzii,0.7324172740635729,1.4823719490454266e-59,9.024821604069419e-58
Prevotella sp900313215,Prevotella sp900771975,0.7323428872094245,1.5438581352391063e-59,9.325146264109594e-58
Escherichia fergusonii,Escherichia sp001660175,0.7318081060417635,2.066921380387411e-59,1.2386995241368618e-57
Prevotella sp900551985,Prevotella sp900555035,0.7303077318098293,4.668902056403523e-59,2.7763680367962343e-57
Prevotella sp900313215,Prevotella sp900767615,0.7298651443880432,5.931338220892571e-59,3.4999458071128396e-57
Prevotella sp900313215,Prevotella sp000434975,0.729633942003528,6.719960586636057e-59,3.935024248861465e-57
Prevotella sp900557255,Prevotella sp900290275,0.7290043822186123,9.43423191290463e-59,5.482575227567531e-57
Escherichia sp002965065,Escherichia albertii,0.7282119755367773,1.4440102781114238e-58,8.328573566460701e-57
Prevotella sp015074785,Prevotella sp900557255,0.7267325674838115,3.1839413769996786e-58,1.822687634549592e-56
Ruminococcus_E bromii_B,Ruminococcus_E sp902771755,0.7264585711175663,3.683973986304029e-58,2.0933158851065338e-56
Prevotella sp900313215,Prevotella sp900556395,0.7263118078647871,3.9830745614600615e-58,2.246629776541186e-56
Prevotella sp900546535,Prevotella sp900313215,0.7261940526130465,4.240368482593782e-58,2.3742968343048836e-56
Prevotella sp900551275,Prevotella sp900556795,0.726172799226147,4.28853220273073e-58,2.383864530952712e-56
Prevotella sp900313215,Prevotella sp002265625,0.7260564800140616,4.5619008934630216e-58,2.5175785434355998e-56
Prevotella hominis,Prevotella sp900556795,0.7256765039212499,5.5810713274991724e-58,3.0580284395175823e-56
Prevotella sp900546535,Prevotella sp002265625,0.7254249097736285,6.377060251949048e-58,3.4693921413263225e-56
Prevotella sp900551275,Prevotella sp002451555,0.7250274139970211,7.869925113802349e-58,4.251422221688579e-56
Prevotella sp900770515,Prevotella sp002451555,0.7246164194476532,9.778094357731571e-58,5.24529802924188e-56
Prevotella copri,Prevotella sp900544825,0.7244650608679768,1.0590911006487129e-57,5.641866550747415e-56
Prevotella sp900767615,Alloprevotella timonensis,0.724384929855207,1.1047994761927089e-57,5.844770194396048e-56
Prevotella sp900548535,Prevotella sp900770515,0.7240259199413637,1.3348047435187802e-57,7.013210402419564e-56
Prevotella sp002265625,Alloprevotella timonensis,0.7238337778354746,1.4768031575531348e-57,7.706501375231358e-56
Prevotella sp900546535,Alloprevotella timonensis,0.7234021043150693,1.8527867821162335e-57,9.60319419298218e-56
Prevotella sp900767615,Prevotella sp900556795,0.7229879504784597,2.3022617312758933e-57,1.1852785060817033e-55
Alloprevotella timonensis,Prevotella sp900290275,0.7228713440584433,2.4472730462262386e-57,1.2515354358400984e-55
Prevotella sp900551275,Prevotella sp900554835,0.7224528821028675,3.046280150480924e-57,1.5475506645257727e-55
Prevotella sp000434975,Prevotella sp900771975,0.7218890929341679,4.088877537041636e-57,2.0635381307004203e-55
Prevotella sp900544825,Prevotella sp900557255,0.7212500552875267,5.703201471307059e-57,2.859428659241598e-55
Escherichia sp002965065,Escherichia coli_E,0.7204826356956952,8.494401226176628e-57,4.231204662727332e-55
Escherichia coli,Escherichia fergusonii,0.7191080585375716,1.7281614149502965e-56,8.552726589731434e-55
Prevotella sp900767615,Prevotella sp900554835,0.7187074034737225,2.1239440973730756e-56,1.0444086648044143e-54
Prevotella sp000434975,Prevotella sp900550035,0.7186603013730263,2.1760135950619334e-56,1.0631974705554197e-54
Prevotella sp900544825,Prevotella sp900767615,0.7183314482919457,2.576551709459912e-56,1.2509321622320878e-54
Prevotella sp900546535,Prevotella sp002451555,0.7171223029021213,4.7856114585516175e-56,2.308831792361601e-54
Prevotella copri_A,Prevotella sp002451555,0.716556216069973,6.387699353581594e-56,3.0625026088327756e-54
Prevotella sp000434975,Prevotella sp900557255,0.7163999749554684,6.91676474821902e-56,3.2955591542601305e-54
Prevotella sp015074785,Prevotella sp900544825,0.7158964994522945,8.935249783721243e-56,4.2310062401805955e-54
Prevotella sp900544825,Prevotella sp900555035,0.7155926334612175,1.0425701708460062e-55,4.906475938993689e-54
Prevotella sp002265625,Prevotella sp900770515,0.7150512465111416,1.371692678349601e-55,6.380833390011475e-54
Prevotella copri,Prevotella sp900554835,0.7150500976794174,1.372490561011463e-55,6.380833390011475e-54
Prevotella sp900767615,Prevotella sp002265625,0.7133707929064237,3.2013761121366663e-55,1.4793829009759256e-53
Prevotella sp900544825,Prevotella hominis,0.7127099274570208,4.460297183223816e-55,2.0487987839826285e-53
Veillonella atypica,Veillonella parvula_A,0.7111386128661111,9.776416664672154e-55,4.46398168063691e-53
Gemmiger formicilis,Gemmiger sp900540595,0.7109993170195399,1.0478099144550231e-54,4.756065002239339e-53
Prevotella copri_A,Prevotella sp900765465,0.7108677757871077,1.1186469919711666e-54,5.047730044359305e-53
Prevotella sp015074785,Prevotella sp900313215,0.7094906137576046,2.2140192780346643e-54,9.932012796376555e-53
Prevotella hominis,Prevotella sp900554835,0.7089391745299412,2.906794258101511e-54,1.2963964391800403e-52
Prevotella sp015074785,Prevotella sp900555035,0.7083627482122742,3.861082722616733e-54,1.712044252323292e-52
Prevotella sp900550035,Prevotella sp900290275,0.7081838176712147,4.216190553261727e-54,1.858758490463834e-52
Prevotella sp000434975,Prevotella sp900770515,0.7075134743600864,5.858908759974674e-54,2.5682108055866127e-52
Prevotella sp900544825,Prevotella sp900556395,0.7070151685996717,7.47786847269266e-54,3.2592459689787156e-52
Prevotella sp900546535,Prevotella sp900554835,0.7066825818154873,8.797836926383532e-54,3.812893054366558e-52
Prevotella sp900313215,Prevotella sp900557255,0.7066056100899593,9.134831589859555e-54,3.93670186100071e-52
Prevotella sp900548535,Prevotella sp900556395,0.7060533092385026,1.195860474726705e-53,5.124830000909807e-52
Prevotella hominis,Prevotella sp002451555,0.7059140133919314,1.2797968530744237e-53,5.454067588852169e-52
Prevotella sp900544825,Prevotella sp900551985,0.7056089985691301,1.484533894786283e-53,6.2916350866881635e-52
Prevotella sp900767615,Prevotella sp002451555,0.7053979007397901,1.6449255665614512e-53,6.933090121479612e-52
Prevotella copri,Prevotella sp900556795,0.7052215550701103,1.7919956495188775e-53,7.511693239048803e-52
Prevotella sp900556795,Prevotella sp900554835,0.7038498499912976,3.4808515029066195e-53,1.451174558630254e-51
Prevotella sp900551275,Prevotella sp900548535,0.7034198997184787,4.282771469313543e-53,1.7758454022218482e-51
Prevotella sp900544825,Prevotella sp002265625,0.7028354315787418,5.673660628607108e-53,2.3399274560239314e-51
Prevotella sp900546535,Prevotella sp900548535,0.7028018282508061,5.76602452749846e-53,2.3653034305048495e-51
Prevotella sp900548535,Prevotella hominis,0.702747833159764,5.9175697095001955e-53,2.41455730008383e-51
Prevotella sp900313215,Prevotella sp900770515,0.7026565010376823,6.182945625507531e-53,2.509490788003612e-51
Prevotella sp900551985,Prevotella sp900313215,0.702413235920062,6.948730638447975e-53,2.805458564607075e-51
Lachnospira rogosae_A,Lachnospira sp000436535,0.7022587180531438,7.483226093750488e-53,3.005435987704712e-51
Prevotella sp900313215,Prevotella sp900554835,0.7021929474369277,7.722918300845149e-53,3.0855472023845387e-51
Prevotella sp900551985,Prevotella sp002265625,0.7014447707764782,1.1047843520773487e-52,4.3910884791633894e-51
Prevotella copri_A,Prevotella sp000436035,0.7012773285526616,1.1967713001871124e-52,4.7321817751213085e-51
Prevotella copri_A,Alloprevotella timonensis,0.7012563623736932,1.208811578736757e-52,4.755278779738289e-51
Prevotella sp900551275,Alloprevotella timonensis,0.7006359932425718,1.6248886682971494e-52,6.359449476789506e-51
Prevotella sp900313215,Prevotella sp002451555,0.7005412146253172,1.6998906879417162e-52,6.619219018883708e-51
Prevotella sp900551275,Prevotella sp000436035,0.7003275319245976,1.8818102911579092e-52,7.29058926437996e-51
Prevotella sp900313215,Prevotella sp900556795,0.6997083116252005,2.5252741805662806e-52,9.734360924182884e-51
Ruminococcus_D bicirculans,Ruminococcus_D sp900539095,0.6995176055589669,2.764274759385961e-52,1.0602375839624854e-50
Prevotella sp900551985,Prevotella copri_A,0.6994503989030955,2.85373646887737e-52,1.0891050971521544e-50
Prevotella sp900544825,Prevotella sp900556795,0.6993096670168689,3.050473001704106e-52,1.158424673072881e-50
Prevotella sp900555035,Prevotella sp900546535,0.6989250955971599,3.659319944050024e-52,1.3827903098920066e-50
Prevotella sp900555035,Prevotella sp900770515,0.6988409436733549,3.807830627908455e-52,1.431856311112047e-50
Faecalibacterium sp900539945,Faecalibacterium prausnitzii,0.6987117001043713,4.047630852065078e-52,1.5146037203020104e-50
Prevotella sp900548535,Prevotella sp002451555,0.6977087700090585,6.494408461551103e-52,2.418378995561093e-50
Prevotella copri_A,Prevotella sp002265625,0.6975039907542023,7.150908078490637e-52,2.649981443000081e-50
Prevotella sp900544825,Prevotella sp900313215,0.6972090282089886,8.213694287296595e-52,3.029194657589047e-50
Prevotella hominis,Prevotella sp002265625,0.6971490017513939,8.448429160044447e-52,3.1008564634785144e-50
Prevotella sp900555035,Prevotella sp002451555,0.6970286616282737,8.939232806916527e-52,3.2653740410407943e-50
Prevotella sp900551275,Prevotella sp002265625,0.6968850576627363,9.562017988366393e-52,3.4763146914103604e-50
Prevotella sp900551275,Prevotella sp900555035,0.6964430446568124,1.1761703057696225e-51,4.2558501960182897e-50
Prevotella sp900551275,Prevotella sp900765465,0.6963968041799093,1.201898090417771e-51,4.328525939715832e-50
Prevotella copri_A,Prevotella sp900548535,0.6959619713722622,1.4728244350583805e-51,5.279456187538708e-50
Prevotella sp900548535,Prevotella sp900767615,0.6958795426960438,1.5306239397971116e-51,5.461123833573788e-50
Prevotella sp900313215,Prevotella sp900548535,0.6956135881518687,1.7328803861085988e-51,6.154132148999566e-50
Prevotella sp900555035,Prevotella sp900554835,0.6950159084473022,2.2891972829935217e-51,8.092365141863273e-50
Prevotella sp900551985,Prevotella sp000436035,0.694895855532113,2.4206662472704506e-51,8.51785815725304e-50
Prevotella sp900313215,Prevotella sp000436035,0.6939428996168072,3.767180042055108e-51,1.3195451188403987e-49
Prevotella sp900770515,Prevotella sp900290275,0.6937639690757477,4.092593633889628e-51,1.42701298934397e-49
Prevotella sp900551985,Prevotella sp900767615,0.693065766595305,5.65135262917499e-51,1.9616075121448572e-49
Prevotella sp900557255,Alloprevotella timonensis,0.6928552431818273,6.227780464723301e-51,2.151950628148308e-49
Prevotella copri,Prevotella sp000434975,0.692723414741464,6.618022035728244e-51,2.2765402258327962e-49
Escherichia sp002965065,Escherichia sp001660175,0.6923092609048543,8.008630991020498e-51,2.7425985862552785e-49
Prevotella copri,Prevotella sp900313215,0.6909576603812169,1.4890304961803818e-50,5.0766013049776486e-49
Prevotella copri,Prevotella sp900765465,0.6908281296043022,1.579932223417209e-50,5.362681453908589e-49
CAG-103 sp000432375,CAG-103 sp900757655,0.6904725661856317,1.8587081479280876e-50,6.281123437337604e-49
Prevotella sp015074785,Prevotella sp002451555,0.6904260385007975,1.8986220887910924e-50,6.387864053998451e-49
Prevotella sp002265625,Prevotella sp900771975,0.689012688271979,3.6132878945823917e-50,1.2103725519363112e-48
Prevotella sp900290275,Prevotella sp900771975,0.6889960302119766,3.6407162761163283e-50,1.214258024090798e-48
Prevotella copri,Prevotella sp900290275,0.68888200866334,3.8340796786426973e-50,1.2732132127648542e-48
Prevotella sp900548535,Prevotella sp900557255,0.6885115104322537,4.535411979614037e-50,1.4996183317077274e-48
Prevotella sp900555035,Prevotella sp900557255,0.687931924827345,5.895555255826588e-50,1.940978728216556e-48
Prevotella sp900546535,Prevotella sp900765465,0.6878532298542305,6.1090025421624295e-50,2.002656346193504e-48
Prevotella sp900557255,Prevotella sp002451555,0.6857758548887672,1.5557097919160063e-49,5.078233963313908e-48
Prevotella sp000434975,Prevotella sp900554835,0.6855078898890745,1.754068957533048e-49,5.701467361540683e-48
Prevotella hominis,Prevotella sp900550035,0.6845690071623913,2.668163802479624e-49,8.636069421443542e-48
Prevotella sp015074785,Prevotella sp900554835,0.6845506258548026,2.6901224084671596e-49,8.670558401408228e-48
Prevotella sp900544825,Prevotella sp900554835,0.6844860040703108,2.7687517123837906e-49,8.886650370584125e-48
Ruminococcus_E sp905215855,Ruminococcus_E sp902766775,0.684232973883034,3.0991605091525213e-49,9.874687664945351e-48
Prevotella hominis,Prevotella sp900556395,0.6842306762195854,3.102333108136918e-49,9.874687664945351e-48
Alloprevotella timonensis,Prevotella sp900770515,0.6840764455605983,3.3228183438562034e-49,1.0532784923851628e-47
Prevotella sp900548535,Prevotella sp900556795,0.6827685006424842,5.937964656507264e-49,1.8744908181097622e-47
Prevotella sp900556795,Prevotella sp002451555,0.6827044532738545,6.1087173258642064e-49,1.9204905986354232e-47
Prevotella sp900557255,Prevotella sp002265625,0.6826277687562575,6.319571813488484e-49,1.9786708318885779e-47
Ruminococcus_C callidus,Ruminococcus_C sp000980705,0.682518342534518,6.632998715079857e-49,2.0683631359096582e-47
Prevotella copri_A,Prevotella sp900555035,0.6815447076481749,1.019421315807745e-48,3.165984175530855e-47
Faecalibacterium prausnitzii_C,Faecalibacterium sp900539945,0.681429537267814,1.0724662403953825e-48,3.317293762126201e-47
Prevotella pectinovora,Prevotella sp002265625,0.6813370563140079,1.1170333946507213e-48,3.441270349544451e-47
Prevotella sp900551985,Prevotella sp900548535,0.6808878631098071,1.3610056060266455e-48,4.1761096015321586e-47
Prevotella sp900550035,Prevotella sp900771975,0.6807026139942639,1.4763755687385582e-48,4.508347823598309e-47
Prevotella sp900313215,Alloprevotella timonensis,0.6806954337959871,1.4810372201105122e-48,4.508347823598309e-47
Prevotella sp900770515,Prevotella sp900771975,0.6797832614068938,2.2089257206270938e-48,6.697497708668157e-47
Prevotella sp900548535,Prevotella sp900771975,0.6790258940926498,3.0750607166095876e-48,9.286925494926042e-47
Prevotella sp900556795,Prevotella sp900290275,0.6787249001808836,3.5061639597101176e-48,1.054736617056326e-46
Phascolarctobacterium_A succinatutens,Phascolarctobacterium_A sp900770955,0.6785063349453357,3.856241464687107e-48,1.155516729516203e-46
Holdemanella sp900556915,Holdemanella sp003458715,0.6784072482091149,4.0261532647943085e-48,1.2017362526940521e-46
Prevotella sp900551275,Prevotella sp900556395,0.6779683944904328,4.8723601055624293e-48,1.4486773011538525e-46
