species,metabolite,rho,pval,qval,stage
Lachnospira sp000436475,C00003_NAD+,0.5688202782542405,7.201389827285663e-06,0.03048129077378312,Stage_III_IV
Avimicrobium caecorum,C03264_2-Hydroxy-4-methylpentanoate,-0.5683845395606074,7.344889343080269e-06,0.03048129077378312,Stage_III_IV
Ruthenibacterium merdipullorum,C01606_Phthalate,0.5663045549838003,8.067170403981343e-06,0.032398797267602496,Stage_III_IV
Faecalimonas umbilicata,C00055_CMP,-0.5649049916213997,8.589665516305509e-06,0.033419167399376115,Stage_III_IV
Alistipes communis,C02656_Pimelate,0.562569087097389,9.532130441141784e-06,0.035962128482489454,Stage_III_IV
Streptococcus gallolyticus_B,C00263_Homoserine,0.5610169815576087,1.0210414207979245e-05,0.03738813437921812,Stage_III_IV
Acetatifactor intestinalis,C05332_Phenethylamine,-0.5600640379145227,1.0648736580127579e-05,0.037879077263596676,Stage_III_IV
Aeriscardovia aeriphila,C00294_Inosine,0.5590623213264723,1.1128239403259809e-05,0.03831515634303532,Stage_III_IV
Alistipes communis,C00624_N-Acetylglutamate,0.558147512864494,1.1583536901576599e-05,0.03831515634303532,Stage_III_IV
Ruminococcus_D bicirculans,C00055_CMP,0.55792944415401,1.1694585871769816e-05,0.03831515634303532,Stage_III_IV
UBA1417 sp003531055,C00134_Putrescine,-0.5567753001715265,1.2298918041345622e-05,0.03926193067044949,Stage_III_IV
ER4 sp900317525,C05332_Phenethylamine,-0.5557948503934973,1.2834881064188161e-05,0.03994856731228565,Stage_III_IV
Onthousia sp900758495,C00491_Cystine,-0.5541557873273893,1.3779400815215399e-05,0.041842326865715054,Stage_III_IV
CAG-83 sp001916855,"C03283_2,4-Diaminobutyrate",0.5509538966866202,1.581268348974675e-05,0.04374842432163268,Stage_III_IV
CAG-83 sp001916855,C08261_Azelate,0.5509815132456641,1.5794018326479072e-05,0.04374842432163268,Stage_III_IV
UBA1417 sp003531055,C00055_CMP,0.5520211935668766,1.5105977507818196e-05,0.04374842432163268,Stage_III_IV
Limiplasma pullistercoris,C08277_Sebacate,0.5516676195921479,1.5336791623227914e-05,0.04374842432163268,Stage_III_IV
CAG-83 sp001916855,C00135_His,-0.5499142367066895,1.6530379481160812e-05,0.04473983142183741,Stage_III_IV
Collinsella intestinalis,C01015_Hydroxyproline,0.5438258782363368,2.1374338389628735e-05,0.045827447230010615,Stage_III_IV
Lachnospira eligens,C00055_CMP,0.5443214089307414,2.093580946826001e-05,0.045827447230010615,Stage_III_IV
UBA1417 sp003531055,C02656_Pimelate,0.5483895559367258,1.7637509145673248e-05,0.045827447230010615,Stage_III_IV
Ruminococcus_E bromii_B,C02714_N-Acetylputrescine,-0.5453401943967982,2.0060206935246104e-05,0.045827447230010615,Stage_III_IV
Acetatifactor sp003447295,C05332_Phenethylamine,-0.5451981170823806,2.018025160471058e-05,0.045827447230010615,Stage_III_IV
Alistipes putredinis,C05145_3-Aminoisobutyrate,-0.5477034495902421,1.8157746015411154e-05,0.045827447230010615,Stage_III_IV
CAG-83 sp001916855,C02656_Pimelate,0.5454926624737946,1.993211702017667e-05,0.045827447230010615,Stage_III_IV
CAG-83 sp001916855,C00134_Putrescine,-0.5441966838193253,2.1045397585218728e-05,0.045827447230010615,Stage_III_IV
Ruthenibacterium merdipullorum,C02714_N-Acetylputrescine,-0.5482370878597294,1.775191196562914e-05,0.045827447230010615,Stage_III_IV
Ruminococcus_C sp000980705,C05332_Phenethylamine,-0.5459985897425729,1.9512476921342214e-05,0.045827447230010615,Stage_III_IV
Acetatifactor intestinalis,C00055_CMP,0.5449694106080399,2.0374886326558322e-05,0.045827447230010615,Stage_III_IV
Campylobacter_B sp900539505,C00642_p-Hydroxyphenylacetate,0.5434447007791023,2.1717424791731937e-05,0.045827447230010615,Stage_III_IV
CAG-485 sp910588245,C00245_Taurine,0.5445016199733181,2.0778400177118713e-05,0.045827447230010615,Stage_III_IV
Alistipes shahii,C05145_3-Aminoisobutyrate,-0.5373356203544882,2.7958035903692304e-05,0.04871097143493031,Stage_III_IV
Faecousia sp003525905,C00624_N-Acetylglutamate,0.538021726700972,2.7182691950214068e-05,0.04871097143493031,Stage_III_IV
CAG-83 sp000435975,C00055_CMP,0.5412719892728661,2.377209361384727e-05,0.04871097143493031,Stage_III_IV
ER4 sp000765235,C00055_CMP,0.5356305629057968,2.9974056830985096e-05,0.04871097143493031,Stage_III_IV
Acetatifactor intestinalis,"C03283_2,4-Diaminobutyrate",0.5379557453949267,2.725638353311049e-05,0.04871097143493031,Stage_III_IV
ER4 sp000765235,C00135_His,-0.536801982085001,2.857513017063331e-05,0.04871097143493031,Stage_III_IV
Alistipes putredinis,C00025_Glu,0.5361921097770155,2.9295752004929254e-05,0.04871097143493031,Stage_III_IV
Prevotella sp900544495,C00003_NAD+,0.5387078330474557,2.6427229134658163e-05,0.04871097143493031,Stage_III_IV
UMGS687 sp900545735,C01118_o-Succinylhomoserine,-0.5360498581087547,2.9466228879828626e-05,0.04871097143493031,Stage_III_IV
Faecivivens stercoravium,C02714_N-Acetylputrescine,0.5404612159329141,2.4583740973880484e-05,0.04871097143493031,Stage_III_IV
QAMH01 sp900544245,C08277_Sebacate,-0.5366495140080045,2.8753736424511663e-05,0.04871097143493031,Stage_III_IV
Scatomorpha intestinigallinarum,"C03283_2,4-Diaminobutyrate",0.5356686806515203,2.9927559323950792e-05,0.04871097143493031,Stage_III_IV
Limadaptatus sp900545885,C02679_Dodecanoate,-0.5385553649704593,2.65934156293587e-05,0.04871097143493031,Stage_III_IV
Ruminococcus_E sp902771755,C01008_Trimethylsulfonium,0.5374220969547986,2.785920057785764e-05,0.04871097143493031,Stage_III_IV
CAG-83 sp001916855,C00431_5-Aminovalerate,-0.5374880884314847,2.778399493409533e-05,0.04871097143493031,Stage_III_IV
RGIG9608 sp017456885,C02678_Dodecanedioate,-0.5355060034305318,3.012646426096092e-05,0.04871097143493031,Stage_III_IV
Ruminococcus_C callidus,C00055_CMP,0.5364691533117125,2.8966346306134133e-05,0.04871097143493031,Stage_III_IV
CAG-83 sp001916855,C01042_N-Acetylaspartate,0.5378692586239756,2.735325590156393e-05,0.04871097143493031,Stage_III_IV
CAG-83 sp001916855,C03626_ADMA,-0.5345149609300552,3.136478063084206e-05,0.04886679508624036,Stage_III_IV
Acetatifactor sp003447295,C00055_CMP,0.5344870305340936,3.1400350256218707e-05,0.04886679508624036,Stage_III_IV
UBA5905 sp900763035,C08261_Azelate,-0.5346674290070517,3.117126511035175e-05,0.04886679508624036,Stage_III_IV
UMGS687 sp900545735,C07044_Hydroxyurea,-0.5336865578739013,3.24357044073417e-05,0.04985487899646965,Stage_III_IV
