Species,Metabolite,n_datasets,mean_rho,datasets
Beduini sp900550005,C00750_Spermine,2,-0.27278930713791694,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Bifidobacterium boum,C00750_Spermine,2,-0.26428113697984285,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Bifidobacterium cebidarum,C00750_Spermine,2,-0.27015391918354914,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Bifidobacterium felsineum,C00750_Spermine,2,-0.2696070756413414,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Bifidobacterium lemurum,C00750_Spermine,2,-0.3020582277609096,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Bifidobacterium myosotis,C00750_Spermine,2,-0.27295816458388855,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Bifidobacterium platyrrhinorum,C00750_Spermine,2,-0.2840357619920735,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Bifidobacterium pullorum,C00750_Spermine,2,-0.3104945606737425,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Bifidobacterium saguini,C00750_Spermine,2,-0.2801191527857412,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Bifidobacterium scardovii,C00750_Spermine,2,-0.27518687969232997,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Bifidobacterium sp012932425,C00750_Spermine,2,-0.2634124365976188,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Bifidobacterium sp012932445,C00750_Spermine,2,-0.28982207920265024,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Bifidobacterium sp018555355,C00750_Spermine,2,-0.28131206756087257,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Bifidobacterium sp018555455,C00750_Spermine,2,-0.27470358094386854,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
CAG-170 sp016296635,C00062_Arg,2,0.31891140666329576,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
CAG-177 sp003538135,C00062_Arg,2,0.25488495575113945,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
CAG-269 sp905215845,C00750_Spermine,2,-0.241285898645063,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
CAG-353 sp900066885,C00062_Arg,2,0.30003348608772595,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
CAG-603 sp900314525,C00750_Spermine,2,-0.2859671048651525,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
CAG-83 sp003539495,C00062_Arg,2,0.32700440983732487,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
CAG-83 sp003539495,C00750_Spermine,2,0.2449104888902125,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
CAG-83 sp004557655,C00062_Arg,2,0.3590058848210044,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
CAG-83 sp004557655,C00750_Spermine,2,0.30348026824635016,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Catenibacillus scindens,C01672_Cadaverine,2,-0.3129055774458581,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Clostridium sp900543325,C00750_Spermine,2,-0.23779266268200133,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Collinsella aerofaciens_M,C00062_Arg,2,-0.2771768806426831,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Collinsella sp018382295,C00750_Spermine,2,-0.2828866148692594,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Collinsella sp900540875,C00750_Spermine,2,-0.28119431957655866,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Collinsella sp900544865,C00062_Arg,2,-0.28282461031555445,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Collinsella sp900548495,C00750_Spermine,2,-0.2605443558878863,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Collinsella sp900548935,C00062_Arg,2,-0.3039713104396252,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Collinsella sp900550785,C00750_Spermine,2,-0.25247693792474546,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Collinsella sp900551555,C00062_Arg,2,-0.33166218281374377,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Collinsella sp900551655,C00750_Spermine,2,-0.3025777162360239,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Collinsella sp900551975,C00750_Spermine,2,-0.28543752041704107,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Collinsella sp900552425,C00750_Spermine,2,-0.2684810263569087,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Collinsella sp900553165,C00750_Spermine,2,-0.247355342507079,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Collinsella sp905215225,C00750_Spermine,2,-0.2333179504148662,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Collinsella sp905216075,C00062_Arg,2,-0.2892199596711942,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Dysosmobacter avistercoris,C01672_Cadaverine,2,-0.3364319195487595,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Dysosmobacter pullicola,C01672_Cadaverine,2,-0.27870749057781513,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Dysosmobacter sp004558115,C00062_Arg,2,0.3262950338619195,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Dysosmobacter sp004558115,C00750_Spermine,2,0.25686092969246277,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Dysosmobacter sp900551885,C01672_Cadaverine,2,-0.33689025535937983,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Egerieenecus sp900553315,C01672_Cadaverine,2,-0.343182743325119,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Enterenecus sp905210385,C01672_Cadaverine,2,-0.2991560907699903,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
F23-B02 sp001916715,C00750_Spermine,2,0.2723065625975188,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Faecalibacterium intestinipullorum,C00750_Spermine,2,-0.25343743864260526,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Faeciplasma sp900760125,C00062_Arg,2,0.2849394808491212,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Faecousia sp900546075,C00077_Ornithine,2,-0.2878341625046043,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Faecousia sp900556935,C00077_Ornithine,2,-0.2833867144401534,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Flavonifractor sp002159265,C01672_Cadaverine,2,-0.32470450710858073,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Gemmiger formicilis_A,C01672_Cadaverine,2,-0.2974503497351435,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Gemmiger sp014982805,C01672_Cadaverine,2,-0.330825616766971,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Gemmiger sp900545545,C01672_Cadaverine,2,-0.27455411873970703,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Gemmiger sp900554145,C01672_Cadaverine,2,-0.2890303955421439,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
HGM12998 sp900756495,C00062_Arg,2,0.3475145493429065,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
HGM12998 sp900756495,C00315_Spermidine,2,0.27587723493190963,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
HGM12998 sp900756495,C00750_Spermine,2,0.27934291092076674,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Holdemanella biformis,C01672_Cadaverine,2,0.23579235931322728,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Holdemanella sp900754615,C01672_Cadaverine,2,0.2600588915847618,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Hydrogeniiclostridium mannosilyticum,C00062_Arg,2,0.32505668083972716,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Intestinimonas massiliensis,C00750_Spermine,2,0.29490696368568897,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Klebsiella pneumoniae,C01672_Cadaverine,2,0.2773459906319482,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Klebsiella sp002270295,C01672_Cadaverine,2,0.34186035976660367,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Lactococcus lactis,C00750_Spermine,2,-0.28886338108252674,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Ligilactobacillus salivarius,C01672_Cadaverine,2,0.2735874961847643,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Limiplasma sp004556545,C00062_Arg,2,0.2767535892927589,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Limosilactobacillus gastricus,C01672_Cadaverine,2,0.29764072044573264,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Merdicola sp900552655,C00750_Spermine,2,-0.240819497809511,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
NSJ-40 sp014384705,C00750_Spermine,2,0.2701387544976312,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
NSJ-63 sp014384805,C00062_Arg,2,0.3264768890461721,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Niameybacter sp900551325,C00750_Spermine,2,-0.26017362583855136,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Odoribacter sp905193145,C00062_Arg,2,0.30212955775965566,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Phil1 sp001940855,C00750_Spermine,2,0.23861475663204806,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Prevotella sp900540375,C00750_Spermine,2,-0.2865746698718634,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Pseudoruminococcus_A massiliensis,C00750_Spermine,2,0.25201383005032174,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
QAMM01 sp900762715,C01672_Cadaverine,2,-0.3270404136984741,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
QXXE01 sp009911355,C00062_Arg,2,0.32278179961872794,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Romboutsia ilealis,C00315_Spermidine,2,-0.24492573582208121,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Romboutsia ilealis,C00750_Spermine,2,-0.28233393999708345,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
SFEL01 sp004557245,C00062_Arg,2,0.31176579967146695,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
SFGY01 sp004556455,C00062_Arg,2,0.3150832765419258,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
SFGY01 sp004556455,C00750_Spermine,2,0.2799414707695693,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Scatomorpha sp900546485,C00077_Ornithine,2,-0.24747518748816083,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Slackia_A sp900553775,C00750_Spermine,2,-0.2952014497227865,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Spyradocola sp905193155,C00062_Arg,2,0.33367171366354037,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Streptococcus anginosus,C01672_Cadaverine,2,0.3084930445241971,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Streptococcus anginosus_C,C01672_Cadaverine,2,0.28853127135874834,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Streptococcus gordonii,C01672_Cadaverine,2,0.28419290933583674,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Streptococcus gordonii_A,C01672_Cadaverine,2,0.28597118409025263,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Streptococcus lactarius,C01672_Cadaverine,2,0.3041740444140749,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Streptococcus mutans,C01672_Cadaverine,2,0.29968238246274204,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Streptococcus oralis_BL,C01672_Cadaverine,2,0.2707245807645115,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Streptococcus oralis_E,C01672_Cadaverine,2,0.32287677499008016,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Streptococcus parasanguinis_B,C01672_Cadaverine,2,0.26608202047476864,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Streptococcus parasanguinis_D,C01672_Cadaverine,2,0.26317592494259273,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Streptococcus parasanguinis_H,C01672_Cadaverine,2,0.2931180130944187,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Streptococcus sobrinus,C01672_Cadaverine,2,0.283124645586894,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Streptococcus sp000220065,C01672_Cadaverine,2,0.3075082052828343,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Streptococcus sp001578805,C01672_Cadaverine,2,0.2998307648909014,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Streptococcus sp013394695,C00062_Arg,2,-0.2759356969627037,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Streptococcus sp015594605,C01672_Cadaverine,2,0.307515116210077,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Turicibacter sp001543345,C00315_Spermidine,2,-0.26475596999463125,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Turicibacter sp001543345,C00750_Spermine,2,-0.26424779644187224,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
UBA9414 sp003458885,C00077_Ornithine,2,-0.09501961596196737,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
UBA9414 sp003458885,C00750_Spermine,2,-0.10634838701960522,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
UMGS775 sp003343995,C00062_Arg,2,0.26922588300439776,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella atypica,C01672_Cadaverine,2,0.2796382752685166,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella caviae,C01672_Cadaverine,2,0.2911390407462093,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella denticariosi,C01672_Cadaverine,2,0.29987414683541314,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella dispar,C01672_Cadaverine,2,0.27375344682751546,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella infantium,C01672_Cadaverine,2,0.26830902402525203,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella nakazawae,C01672_Cadaverine,2,0.267261211886768,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella parvula,C01672_Cadaverine,2,0.2712609029711744,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella rodentium,C01672_Cadaverine,2,0.29584069491457654,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella sp002959755,C01672_Cadaverine,2,0.25682689915409856,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella sp003463825,C01672_Cadaverine,2,0.27264436121637625,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella sp900538355,C01672_Cadaverine,2,0.2841888753605904,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella sp900545205,C01672_Cadaverine,2,0.29670160926473166,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella sp900549845,C01672_Cadaverine,2,0.2639238625162224,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella sp900550175,C01672_Cadaverine,2,0.2701512448160024,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella sp900552715,C01672_Cadaverine,2,0.2542535870182188,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella sp900556785,C01672_Cadaverine,2,0.2725020533389982,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella sp900765235,C01672_Cadaverine,2,0.31680396756789575,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella sp900766125,C01672_Cadaverine,2,0.26270182159513683,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella sp902834965,C01672_Cadaverine,2,0.29110350714636507,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella sp905209685,C01672_Cadaverine,2,0.269679591449911,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella sp905214495,C01672_Cadaverine,2,0.2902450150151708,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Veillonella tobetsuensis,C01672_Cadaverine,2,0.27308263465897553,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Ventrimonas sp004554205,C00750_Spermine,2,0.24411225229869388,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
